tf,target,importance
ARID3A,APPL2,0.3569923263584449
ARID3A,ARHGAP1,0.2874838724062865
ARID3A,ARHGEF7,1.273509685385407
ARID3A,ENTPD1-AS1,0.5289536916880744
ARID3A,GPAA1,0.0391464732649996
ARID3A,KCTD10,0.209794277305727
ARID3A,MED31,0.0868813466021697
ARID3A,MORF4L2,0.0245777643628744
ARID3A,PIK3R4,0.2807338527661836
ARID3A,SIPA1,0.2210175903753522
ARID3A,SMG7,0.3881535590976228
ARID3A,TIMM23,0.024618976105156
ARID3A,TOPBP1,0.3464690156034949
ARID3A,WDR37,0.8283334602646373
ARID3A,ZNF322,0.1265212252427318
ARNTL,ANGPT2,2.538995801168333
ARNTL,CCNE2,0.922169713550899
ARNTL,CCT6P1,1.3036151941965366
ARNTL,CEP350,0.7402810247437206
ARNTL,CLN3,1.1209724907623402
ARNTL,CTNNBIP1,0.1687674093864676
ARNTL,CX3CR1,0.9865401468174926
ARNTL,DNAJB14,0.2615846624279031
ARNTL,EXOC6,0.7156704950848188
ARNTL,FAM53B,1.4611272550882008
ARNTL,FUT8,0.6479791139958363
ARNTL,GIMAP5,4.069312251343239
ARNTL,HDAC6,0.4830606162705115
ARNTL,HID1,0.5749705622037021
ARNTL,IFNG-AS1,0.0418079425990547
ARNTL,IFT20,0.4227605883007945
ARNTL,KIAA0368,0.7676157380595117
ARNTL,KIAA0895L,0.8162057256959927
ARNTL,LOXL1-AS1,2.0825008587090563
ARNTL,LRCH3,1.761475118955126
ARNTL,MEPCE,0.5778254012155954
ARNTL,MKLN1,0.6342344975195489
ARNTL,MXD4,0.4734627011579241
ARNTL,NAPEPLD,0.7085448217456949
ARNTL,NCBP3,0.0688956587935556
ARNTL,NOTCH1,0.4270244695238175
ARNTL,NT5DC3,0.6696747490716735
ARNTL,OSBPL8,0.5003332908151579
ARNTL,PLEKHA5,0.8390851138382661
ARNTL,PRKD3,0.4315544888261698
ARNTL,RAP1GAP,0.4617534907430958
ARNTL,RBM28,0.0682243817984492
ARNTL,RNF220,0.0893859827965464
ARNTL,SATB1,0.0141934439644422
ARNTL,SDCCAG3,0.1623676191903635
ARNTL,SH2B2,0.4537572489604689
ARNTL,SNAPC3,0.5411024038857736
ARNTL,TGFBRAP1,0.4779220008156021
ARNTL,TMEM199,0.0573991867077284
ARNTL,TPRG1L,0.1413511776800818
ARNTL,TRAF7,0.0383449105968557
ARNTL,TSHZ1,0.5075811544527293
ARNTL,TSPAN14,0.3374112875371864
ARNTL,USP32,1.4475829611855473
ARNTL,USP44,1.0047885233662106
ARNTL,VEZF1,1.4319969812442557
ARNTL,ZNF787,0.404690836229262
ATF1,ABCA5,0.1059430251546876
ATF1,AGRN,0.3389565105937327
ATF1,AIG1,0.064339352508412
ATF1,AP5Z1,0.2866457371191924
ATF1,ARHGEF3,0.1426284116308661
ATF1,ATG4B,0.0561169686865645
ATF1,ATXN10,0.0324949479413038
ATF1,AVPI1,0.8917727064372025
ATF1,BLOC1S3,0.2242983709713572
ATF1,BTF3L4,0.0262151063545234
ATF1,C10orf76,0.5265521002022246
ATF1,C17orf75,0.1329643372754961
ATF1,C4orf32,0.0279745861264316
ATF1,CAMSAP1,0.1503071428503654
ATF1,CCDC125,0.3475073143925672
ATF1,CCDC144B,0.2112637400080622
ATF1,CDC14A,0.2018299827520555
ATF1,CDC42BPA,0.5548366474463408
ATF1,CDKN2AIP,0.1275071674683841
ATF1,CES2,0.1636605020953707
ATF1,CLK2,0.2588355690419573
ATF1,CUL4A,0.0411065193326627
ATF1,CUL9,0.1881620050507965
ATF1,DARS,0.0087847987639698
ATF1,DGKH,0.1948413801917603
ATF1,DGUOK-AS1,0.6550570947180715
ATF1,DNAJA3,0.0366628619505661
ATF1,DPYSL4,0.0546147494119702
ATF1,DTX3,0.0972481442862186
ATF1,DYNC1H1,0.1841974134512431
ATF1,EFNA3,0.5639988197466387
ATF1,EFNB1,1.2043341996136752
ATF1,EIF5A2,0.6532621453791585
ATF1,ENO1-AS1,3.636240813366605e-06
ATF1,FAM21A,1.0748053978491692
ATF1,FAM53B,0.5743552430725625
ATF1,FBXO33,0.2371702748471144
ATF1,FBXO6,0.0813219960873891
ATF1,FMR1,0.4774940498708084
ATF1,FSCN1,0.0140430181767997
ATF1,G0S2,0.1000956433438231
ATF1,GTF3C4,0.1666970298699575
ATF1,HCG11,0.70978681808022
ATF1,HELZ,0.1780042299296705
ATF1,HEXA,0.0947260698692288
ATF1,HOMER1,0.1894067519833835
ATF1,HPS3,3.687884529254377e-05
ATF1,HSF2,0.0950325062056661
ATF1,HSPBAP1,0.7128114084152817
