source_TF,n_target_genes,n_edges,log2FC_mean,log2FC_std,log2FC_min,log2FC_max,adj_pval_min,adj_pval_mean,adj_pval_median,culture_condition
ADNP,19,19,0.0810769963131534,1.1452613818393145,-1.5836128866156238,3.5486433909282766,1.4069373639857642e-12,0.0173255237861456,0.0051896749471445,Rest
ADNP,24,24,0.5433404141010721,0.9555263156643368,-1.280423242327157,2.225136132985855,4.164373028003842e-06,0.0245220107432944,0.0219423957740339,Stim48hr
ADNP,28,28,0.4598535861152829,0.9405103090692072,-1.0508750255461143,3.018340755099297,1.5740027345875066e-14,0.0120021884225286,0.0069186177895176,Stim8hr
ADNP2,46,46,0.4274488773673781,1.355343791618384,-3.248613445925635,3.367853744181465,1.3274231939452072e-16,0.0136988252985447,0.001170404380819,Rest
ADNP2,64,64,0.5472037560460261,1.0130241503487831,-1.412810016175014,3.185745402612812,2.638081956782153e-16,0.013845458645521,0.007049438487365,Stim48hr
ADNP2,55,55,0.2771819978378801,1.118212968705537,-3.078120351148668,3.1345540513889736,1.7635508826449525e-15,0.0158168183896217,0.0114637349913462,Stim8hr
AEBP2,7,7,0.154131752292773,1.3096610115299057,-2.4541727955006163,1.082143511471959,0.0002606253163995,0.013887327511103,0.00690572056566,Rest
AEBP2,293,293,-0.3597289482193641,1.0144259230237935,-4.321635655520852,1.920613377698705,4.311075551743415e-06,0.0211552842921249,0.017996692160092,Stim48hr
AEBP2,31,31,-0.4392192538121164,1.020451758181493,-2.949587952304228,1.1920492719595646,4.116391412848567e-06,0.0230120504143021,0.0238898884444892,Stim8hr
AHDC1,4,4,-0.2784062080217692,1.06417419136747,-1.3616875389044596,1.1778675669639709,3.0459962869459824e-07,0.0214193803139171,0.0214194345059326,Rest
AHDC1,2,2,-0.4693685868141328,0.2682210271160078,-0.6590294939446828,-0.2797076796835828,0.00108404756488,0.0012028868205567,0.0012028868205567,Stim48hr
AHDC1,5,5,0.3653389969477797,1.3464294264245371,-1.550548638474072,1.428024598813671,0.004871814560207,0.0100935064373054,0.0101083647013991,Stim8hr
AHR,2061,2061,0.0556624351274762,0.7061627663044072,-3.820661995756952,4.288899815130425,4.6964790627052405e-35,0.0149430426049957,0.008983540803093,Rest
AHR,1305,1305,0.1745270211209845,0.7928193758719936,-5.843888627101219,3.955583434278528,1.4143742938997951e-72,0.0157289856626431,0.0110457424647628,Stim48hr
AHR,1253,1253,0.0454082814898217,0.7696157192022614,-4.080242288873604,3.914422228916872,9.99875664974258e-46,0.0150309603383203,0.0100078549666368,Stim8hr
AHRR,1,1,0.2842961926215802,,0.2842961926215802,0.2842961926215802,0.0134711110989815,0.0134711110989815,0.0134711110989815,Rest
AHRR,1,1,0.1962308137589559,,0.1962308137589559,0.1962308137589559,0.0388920299740581,0.0388920299740581,0.0388920299740581,Stim8hr
AKAP8L,2,2,-0.4722988323964261,0.0512573935191888,-0.508543282939792,-0.4360543818530603,0.0008954785354515,0.0021098553930199,0.0021098553930199,Rest
AKAP8L,3,3,1.0174387759034016,2.5889539608618297,-0.5045021563482448,4.0067392132217545,0.002864332199278,0.0165198700760711,0.0177060353067635,Stim48hr
AKAP8L,1,1,-0.5027849047700261,,-0.5027849047700261,-0.5027849047700261,2.8523985263693888e-05,2.8523985263693888e-05,2.8523985263693888e-05,Stim8hr
ARID2,166,166,0.2543948089750691,0.8722404606200773,-2.437642440874184,3.7030174263876328,1.986725681164224e-07,0.0194596920444066,0.0169310373595127,Rest
ARID2,148,148,0.1599575192978566,0.6028717428415072,-1.1840269486551205,3.784487914215936,6.521198027768745e-08,0.0230425524680687,0.0229009949362818,Stim48hr
ARID2,133,133,0.3012244723554586,0.7830265743178885,-1.5527677961310622,3.529050640724144,1.5126892706422188e-07,0.0198043983153333,0.0174173948538803,Stim8hr
ARID3A,3,3,-0.1900121487624885,1.4577522891706014,-1.5288300627310256,1.3629785427035594,1.1036476658739269e-07,0.0101729127819112,0.0013040628274099,Rest
ARID3A,7,7,-0.1292279326728778,1.1093574675105973,-1.317084477165431,1.2228385602858114,2.3023651817856385e-12,0.015465093000369,0.0116049601308695,Stim48hr
ARID3A,5,5,-0.2822647971779426,0.949985595293197,-1.2082027012625178,0.9164487419582796,8.252731498463179e-13,0.0046817287875662,0.0008212870182232,Stim8hr
