source_TF,target_gene,log2FC,adj_p_value,p_value,zscore,culture_condition,n_guides_averaged
ADNP,ALG13,0.457486711738812,0.0027061157416575,1.750398280502954e-06,4.780293086035734,Rest,1
ADNP,BIN2,-0.3257184801298175,0.0197106508346008,2.2311538784315364e-05,-4.240406471624544,Rest,1
ADNP,GNPDA1,-0.8948926131330355,4.478395525465489e-07,1.0862861074059236e-10,-6.454427716147731,Rest,1
ADNP,PODXL2,1.5675821116384954,0.0044986137434534,3.637300892184188e-06,4.631098887998592,Rest,1
ADNP,VIPR1,-1.5836128866156238,0.0018123589124118,7.326806728702635e-07,-4.952494660942058,Rest,1
ADNP,DTD1,0.9519816166266069,1.4069373639857642e-12,2.2751251034698645e-16,8.20661453413156,Rest,1
ADNP,VSTM2L,3.5486433909282766,0.0174390704622277,1.833020019477368e-05,4.28431628093445,Rest,1
ADNP,GGACT,0.8433670177121296,0.0134005829177944,1.3001859234600006e-05,4.360073790111352,Rest,1
ADNP,C9orf40,0.4848496751071359,0.0425225041601527,5.844781457977007e-05,4.018991357271812,Rest,1
ADNP,FLNB,-0.6297939854829191,0.0418046209211205,5.4081010247245245e-05,-4.037251811754271,Rest,1
ADNP,MAPKBP1,-0.5664510242111491,0.0455615790246617,7.367655081607662e-05,-3.9640896884382246,Rest,1
ADNP,MVB12A,-0.4366979959804477,0.0038678557217198,2.8145780639940345e-06,-4.683906959017029,Rest,1
ADNP,KDM6A,0.270149187400069,0.0455615790246617,7.083614134752425e-05,3.9734597218517096,Rest,1
ADNP,PRKCI,-0.3317258395378304,0.0348718824852457,4.229287170752635e-05,-4.094583093763669,Rest,1
ADNP,ZNF558,-1.2941589960206012,0.0001207170264622,3.9041729127507935e-08,-5.495132444727764,Rest,1
ADNP,ASMTL,0.3701066490410704,0.0051896749471445,4.61565527317192e-06,4.5815394418285145,Rest,1
ADNP,PRKAG1,-0.2659527269178618,0.0027061157416575,1.5584070045046736e-06,-4.803596534944002,Rest,1
ADNP,CD47,-0.1738648447004187,0.0451762570829477,6.574811024361743e-05,-3.991170064283603,Rest,1
ADNP,CARD11,-0.4508340375129762,0.0022343253478875,1.0839223873969185e-06,-4.875756518651874,Rest,1
ADNP2,LZTS1,1.3380064728954026,0.0007320285144606,1.3835944310801662e-06,4.827353437668391,Rest,1
ADNP2,HMG20B,0.4772858249869767,2.8644612342403434e-10,1.2816381361254332e-13,7.408056386785396,Rest,1
ADNP2,PRKCZ,1.477070737717772,0.0104895805934994,2.909861283207894e-05,4.180408308724658,Rest,1
