TF,target,weight,state
NFYA,ASH1L,0.030388875,CD8_act
NFYA,ZSCAN29,0.021026636,CD8_act
NFYA,B2M,0.031734392,CD8_act
NFYA,ZNF232,0.05202619,CD8_act
NFYA,ZNF732,0.013103159,CD8_act
NFYA,L3MBTL3,0.012724603,CD8_act
NFYA,RPL41,0.012570541,CD8_act
NFYA,ZNF737,0.027659312,CD8_act
NFYA,ZNF2,0.011969768,CD8_act
MEOX1,ASH1L,0.028423222,CD8_act
MEOX1,B2M,0.03161965,CD8_act
MEOX1,ZNF232,0.054644756,CD8_act
MEOX1,ZNF768,0.016302792,CD8_act
MEOX1,ZNF737,0.047471754,CD8_act
SOX8,ASH1L,0.030874236,CD8_act
SOX8,B2M,0.03186663,CD8_act
SOX8,ZNF232,0.05788234,CD8_act
SOX8,ZNF768,0.019501079,CD8_act
SOX8,RPS27,0.013585305,CD8_act
SOX8,ZNF585A,0.014682405,CD8_act
SOX8,RPL41,0.018227395,CD8_act
SOX8,ZNF737,0.035876557,CD8_act
SOX8,ZNF2,0.012214444,CD8_act
ZNF195,ASH1L,0.03003714,CD8_act
ZNF195,ZSCAN29,0.023759516,CD8_act
ZNF195,RPL10,0.014359423,CD8_act
ZNF195,B2M,0.03142319,CD8_act
ZNF195,ZNF232,0.034784146,CD8_act
ZNF195,ZNF732,0.025037952,CD8_act
ZNF195,L3MBTL3,0.01421641,CD8_act
ZNF195,RPL41,0.0119527625,CD8_act
ZNF195,ZNF737,0.032554872,CD8_act
ZNF195,ZNF2,0.011577664,CD8_act
ZFX,ASH1L,0.029315807,CD8_act
ZFX,B2M,0.031559266,CD8_act
ZFX,ZNF232,0.013834175,CD8_act
ZFX,ZNF768,0.012711754,CD8_act
ZFX,ZNF732,0.027356226,CD8_act
ZFX,RPL41,0.010471089,CD8_act
ZFX,ZNF737,0.012477292,CD8_act
ZFX,ZNF2,0.016949672,CD8_act
ZNF263,ASH1L,0.030211609,CD8_act
ZNF263,ZSCAN29,0.02656203,CD8_act
ZNF263,B2M,0.03127538,CD8_act
ZNF263,ZNF232,0.040124957,CD8_act
ZNF263,L3MBTL3,0.015032693,CD8_act
ZNF263,ZNF737,0.02860104,CD8_act
GTF2IRD1,NCOA1,0.014069066,CD8_act
GTF2IRD1,ASH1L,0.030564547,CD8_act
GTF2IRD1,RPL10,0.013982319,CD8_act
GTF2IRD1,B2M,0.03248345,CD8_act
GTF2IRD1,ZNF232,0.0388712,CD8_act
GTF2IRD1,ZNF768,0.016538687,CD8_act
GTF2IRD1,RPS27,0.0103839105,CD8_act
GTF2IRD1,L3MBTL3,0.014863274,CD8_act
GTF2IRD1,RPL41,0.014312134,CD8_act
GTF2IRD1,ZNF737,0.030285444,CD8_act
TEAD3,ASH1L,0.030004576,CD8_act
TEAD3,RPL10,0.014608417,CD8_act
TEAD3,B2M,0.031923898,CD8_act
TEAD3,ZNF232,0.05729993,CD8_act
TEAD3,ZNF768,0.02565266,CD8_act
TEAD3,RPS27,0.013278519,CD8_act
TEAD3,ZNF732,0.0114282835,CD8_act
TEAD3,L3MBTL3,0.01880727,CD8_act
TEAD3,RPL41,0.018610898,CD8_act
TEAD3,ZNF737,0.033507068,CD8_act
ETV7,ASH1L,0.029163431,CD8_act
