TF,target,weight,state
NFYA,ASH1L,0.02677133,CD8_rest
NFYA,ZSCAN29,0.020347096,CD8_rest
NFYA,RPL10,0.011475201,CD8_rest
NFYA,B2M,0.031355552,CD8_rest
NFYA,ZNF232,0.040304963,CD8_rest
NFYA,ZNF768,0.020610532,CD8_rest
NFYA,RPL41,0.012504114,CD8_rest
NFYA,ZNF2,0.020218119,CD8_rest
MEOX1,ASH1L,0.024159048,CD8_rest
MEOX1,B2M,0.03133363,CD8_rest
MEOX1,ZNF232,0.041638643,CD8_rest
MEOX1,ZNF768,0.016220545,CD8_rest
MEOX1,LHX1,0.015056043,CD8_rest
ZNF195,ASH1L,0.02574395,CD8_rest
ZNF195,ZSCAN29,0.022524843,CD8_rest
ZNF195,RPL10,0.017134575,CD8_rest
ZNF195,B2M,0.031355266,CD8_rest
ZNF195,ZNF232,0.02280516,CD8_rest
ZNF195,ZNF768,0.02008186,CD8_rest
ZNF195,RPL41,0.011565121,CD8_rest
ZNF195,ZNF2,0.019787105,CD8_rest
ZFX,ASH1L,0.025053924,CD8_rest
ZFX,B2M,0.031376228,CD8_rest
ZFX,ZNF232,0.010680645,CD8_rest
ZFX,ZNF768,0.029525798,CD8_rest
ZFX,RPL41,0.010229922,CD8_rest
ZFX,ZNF2,0.016510831,CD8_rest
ZNF263,ASH1L,0.026895642,CD8_rest
ZNF263,ZSCAN29,0.025642406,CD8_rest
ZNF263,B2M,0.031242052,CD8_rest
ZNF263,ZNF232,0.025702,CD8_rest
ZNF263,LHX1,0.010575023,CD8_rest
ZNF263,ZNF2,0.014054304,CD8_rest
PAX6,ASH1L,0.025635898,CD8_rest
PAX6,RPL10,0.016336666,CD8_rest
PAX6,B2M,0.031826265,CD8_rest
PAX6,ZNF232,0.03363277,CD8_rest
PAX6,ZNF768,0.015230092,CD8_rest
PAX6,RPS27,0.01803482,CD8_rest
PAX6,RPL41,0.0186242,CD8_rest
PAX6,LHX1,0.01128292,CD8_rest
PAX6,ZNF2,0.013713855,CD8_rest
NFIX,ASH1L,0.027908748,CD8_rest
NFIX,ZSCAN29,0.018380862,CD8_rest
NFIX,RPL10,0.012160781,CD8_rest
NFIX,B2M,0.031725753,CD8_rest
NFIX,ZNF232,0.02592562,CD8_rest
NFIX,ZNF768,0.013947824,CD8_rest
NFIX,RPL41,0.01073223,CD8_rest
NFIX,ZNF2,0.01826078,CD8_rest
MLXIPL,ASH1L,0.027461402,CD8_rest
MLXIPL,RPL10,0.010794338,CD8_rest
MLXIPL,B2M,0.032069325,CD8_rest
MLXIPL,ZNF232,0.048295446,CD8_rest
MLXIPL,ZNF768,0.041869015,CD8_rest
MLXIPL,RPS27,0.010477879,CD8_rest
MLXIPL,RPL41,0.0125976065,CD8_rest
MLXIPL,ZNF2,0.01353582,CD8_rest
ETV7,ASH1L,0.02481526,CD8_rest
ETV7,RPL10,0.013664995,CD8_rest
ETV7,B2M,0.03138991,CD8_rest
ETV7,ZNF232,0.04374814,CD8_rest
ETV7,ZNF768,0.03704004,CD8_rest
ETV7,L3MBTL3,0.010996018,CD8_rest
ETV7,RPL41,0.011816427,CD8_rest
ETV7,LHX1,0.018470073,CD8_rest
ZNF207,ASH1L,0.028327145,CD8_rest
ZNF207,ZSCAN29,0.013451702,CD8_rest
ZNF207,RPL10,0.01952216,CD8_rest
ZNF207,B2M,0.031914912,CD8_rest
ZNF207,ZNF232,0.016895061,CD8_rest
ZNF207,ZNF768,0.018940894,CD8_rest
ZNF207,ZNF2,0.019267472,CD8_rest
ZNF200,ASH1L,0.02619704,CD8_rest
ZNF200,ZSCAN29,0.021911625,CD8_rest
ZNF200,RPL10,0.016519785,CD8_rest
ZNF200,B2M,0.03127341,CD8_rest
ZNF200,ZNF232,0.037451215,CD8_rest
ZNF200,ZNF768,0.01650417,CD8_rest
ZNF200,RPL41,0.011679681,CD8_rest
ZNF200,ZNF2,0.018256813,CD8_rest
SCMH1,NCOA1,0.011188619,CD8_rest
SCMH1,ASH1L,0.028454313,CD8_rest
SCMH1,RPL10,0.016551796,CD8_rest
SCMH1,B2M,0.03232023,CD8_rest
SCMH1,ZNF232,0.024634864,CD8_rest
SCMH1,ZNF768,0.017711401,CD8_rest
SCMH1,RPS27,0.011925593,CD8_rest
SCMH1,LHX1,0.012229139,CD8_rest
SCMH1,ZNF2,0.014766623,CD8_rest
HIVEP2,ASH1L,0.028673764,CD8_rest
HIVEP2,B2M,0.031522695,CD8_rest
HIVEP2,ZNF232,0.040707644,CD8_rest
HIVEP2,ZNF768,0.010213517,CD8_rest
HIVEP2,RPS27,0.011015674,CD8_rest
HIVEP2,ZNF2,0.02261154,CD8_rest
AKAP8L,ASH1L,0.02757209,CD8_rest
AKAP8L,ZSCAN29,0.010135831,CD8_rest
AKAP8L,B2M,0.03346176,CD8_rest
AKAP8L,ZNF232,0.03342807,CD8_rest
AKAP8L,ZNF768,0.011055203,CD8_rest
AKAP8L,MAL,0.010422976,CD8_rest
AKAP8L,RPS27,0.011516845,CD8_rest
AKAP8L,RPL41,0.014750359,CD8_rest
AKAP8L,ZNF2,0.013921427,CD8_rest
WIZ,ZSCAN29,0.023911856,CD8_rest
