fold,TF,model,pearson,spearman,l2_mse,n_nonzero_true_targets,n_nonzero_pred_targets_abs_gt_0_5
1,ADNP,No Change,,,0.0028636729604822665,19,0
1,AHRR,No Change,,,9.751969732037479e-06,1,0
1,ARID5A,No Change,,,0.00011761363616683374,2,0
1,ATF7,No Change,,,0.00016467137107171426,2,0
1,BACH1,No Change,,,0.00020666705632891005,1,0
1,BHLHE40,No Change,,,0.035564500073555216,319,0
1,CAMTA1,No Change,,,0.001238277992396427,2,0
1,CC2D1A,No Change,,,0.00010487725982825481,1,0
1,CLOCK,No Change,,,0.0006600558575932008,1,0
1,CREB1,No Change,,,0.008982537124992522,147,0
1,CREBZF,No Change,,,0.00010374794887996639,1,0
1,DMTF1,No Change,,,0.0011171296089386544,1,0
1,DR1,No Change,,,0.0030347383800435786,65,0
1,E2F6,No Change,,,0.005322224323306905,4,0
1,E2F7,No Change,,,0.000186026544032423,3,0
1,FLI1,No Change,,,0.01729494232196216,207,0
1,FOSL2,No Change,,,0.0018177815242907233,25,0
1,FOXK1,No Change,,,0.010270914796392713,100,0
1,GTF2I,No Change,,,0.004243273592583901,12,0
1,HMG20B,No Change,,,2.1657469845503225e-05,1,0
1,HOXB4,No Change,,,0.005649839567584881,92,0
1,IKZF1,No Change,,,0.0024817488831368074,23,0
1,IRF1,No Change,,,0.021974789544658774,194,0
1,IRF2,No Change,,,0.006748632877084728,57,0
1,JUND,No Change,,,0.013794418688144197,31,0
1,KDM2A,No Change,,,0.02168786064098902,155,0
1,KLF7,No Change,,,0.002156987336187246,5,0
1,L3MBTL3,No Change,,,0.00338977258921542,20,0
1,LCOR,No Change,,,0.0011073921481076843,6,0
1,MLX,No Change,,,0.0006481879741253213,7,0
1,MXD1,No Change,,,3.032609313515103e-05,1,0
1,NFX1,No Change,,,0.0003496221186703725,1,0
1,NR4A1,No Change,,,0.00042455733834227216,11,0
1,PHF19,No Change,,,0.017668113283038016,85,0
1,PURB,No Change,,,2.7615625807971358e-05,1,0
1,RBAK,No Change,,,0.0018315746796593252,5,0
1,RBPJ,No Change,,,0.002416208385693249,45,0
1,RFX7,No Change,,,0.00015379111626179828,1,0
1,RREB1,No Change,,,0.010836578019733348,39,0
1,SKI,No Change,,,0.001698927034078357,20,0
1,SP4,No Change,,,0.00011506759735948768,4,0
1,STAT5B,No Change,,,0.12220041817413092,829,0
1,STAT6,No Change,,,0.0001902809948755219,2,0
1,TBPL1,No Change,,,0.0008950517388473903,19,0
1,TFE3,No Change,,,0.00050411528901044,3,0
1,TMF1,No Change,,,2.900748663665615e-05,2,0
1,XBP1,No Change,,,0.006767644654715032,152,0
1,YY1,No Change,,,0.012166273343318514,314,0
1,ZBED1,No Change,,,0.0020324746154245935,51,0
1,ZBTB21,No Change,,,0.0018658983495550804,10,0
1,ZBTB3,No Change,,,0.0012158150867317597,2,0
1,ZBTB37,No Change,,,0.000497487611551387,1,0
1,ZBTB44,No Change,,,0.00737372655874941,74,0
1,ZFP3,No Change,,,0.0010522370501281069,1,0
1,ZHX3,No Change,,,0.0016278169312177605,89,0
1,ZNF140,No Change,,,0.0023398887403903714,1,0
1,ZNF146,No Change,,,0.004768966553024518,3,0
1,ZNF211,No Change,,,0.0010733046963257368,2,0
1,ZNF221,No Change,,,0.0065676379435457,262,0
1,ZNF227,No Change,,,0.0013345753572717367,2,0
1,ZNF25,No Change,,,0.00017931782546359891,2,0
1,ZNF311,No Change,,,0.0013633219187184332,11,0
1,ZNF35,No Change,,,0.001083489543629986,46,0
1,ZNF384,No Change,,,0.002714890000139586,32,0
1,ZNF414,No Change,,,0.006757417397825495,109,0
1,ZNF496,No Change,,,0.0016001900194888778,2,0
1,ZNF507,No Change,,,0.000956971610013356,12,0
1,ZNF526,No Change,,,0.0012741345113179221,7,0
1,ZNF554,No Change,,,0.01712474201777198,378,0
1,ZNF561,No Change,,,0.001447571894987654,9,0
1,ZNF619,No Change,,,0.00013814454779434378,2,0
1,ZNF626,No Change,,,1.637983701401772e-05,1,0
1,ZNF627,No Change,,,0.0544790005656726,48,0
1,ZNF644,No Change,,,0.015104066364179172,235,0
1,ZNF646,No Change,,,0.0001877247008214292,1,0
1,ZNF671,No Change,,,0.0008449540164149238,2,0
1,ZNF682,No Change,,,0.0003531136666524759,1,0
1,ZNF70,No Change,,,0.003980661648541895,294,0
1,ZNF764,No Change,,,1.4538491130442403e-05,1,0
1,ZNF770,No Change,,,0.000709814731740575,3,0
1,ZNF800,No Change,,,0.002023822703293299,3,0
1,ZSCAN22,No Change,,,0.004243796608039814,1,0
1,ADNP,Train Mean,0.032655147603934356,0.027867894382305712,0.0028912413216914267,19,0
1,AHRR,Train Mean,-0.01288783989033885,-0.017284941414272014,6.309321969165381e-05,1,0
1,ARID5A,Train Mean,-0.0006618665069828744,-0.0007473616103569257,0.00017118854310007936,2,0
1,ATF7,Train Mean,0.010241927779444071,0.009111386243758507,0.00021569229098758575,2,0
1,BACH1,Train Mean,0.0013781727935547009,0.007973250303063714,0.000258729024246637,1,0
1,BHLHE40,Train Mean,0.06826694374650694,0.009979756462676521,0.035457807414244244,319,0
1,CAMTA1,Train Mean,0.022438741847506254,0.02381922986454142,0.0012781803138813637,2,0
1,CC2D1A,Train Mean,0.01852241272984027,0.018226211965454313,0.00015548398511545174,1,0
1,CLOCK,Train Mean,-0.0004412816637372657,-0.00578766599885506,0.0007140931599724711,1,0
1,CREB1,Train Mean,0.08209497318940323,0.049955432557678106,0.008938714060150735,147,0
1,CREBZF,Train Mean,0.005024898488630713,0.01123326050471948,0.00015630825051815615,1,0
1,DMTF1,Train Mean,0.002714084139091205,0.005275706650285176,0.0011700222558720106,1,0
1,DR1,Train Mean,0.03863144199885499,0.03253553188558657,0.0030603621681018203,65,0
1,E2F6,Train Mean,0.07302299382928382,0.036424838044455086,0.005294746130469519,4,0
1,E2F7,Train Mean,0.002080109881740761,0.011627237546277275,0.00023761572308059388,3,0
1,FLI1,Train Mean,0.033578417989521415,-0.005305729688779051,0.017290197033177444,207,0
1,FOSL2,Train Mean,0.0030116623241228276,2.7744221289143684e-05,0.0018678125008242167,25,0
1,FOXK1,Train Mean,0.03492980460582629,0.016052447891783925,0.010267956259248926,100,0
