state,fold,model,tf,pearson_r,l2
Rest,0,No Change,ADNP,,0.0028636729604822665
Rest,0,No Change,AHRR,,9.751969732037479e-06
Rest,0,No Change,ARID5A,,0.00011761363616683374
Rest,0,No Change,ATF7,,0.00016467137107171426
Rest,0,No Change,BACH1,,0.00020666705632891005
Rest,0,No Change,BHLHE40,,0.035564500073555216
Rest,0,No Change,CAMTA1,,0.001238277992396427
Rest,0,No Change,CC2D1A,,0.00010487725982825481
Rest,0,No Change,CLOCK,,0.0006600558575932008
Rest,0,No Change,CREB1,,0.008982537124992522
Rest,0,No Change,CREBZF,,0.00010374794887996639
Rest,0,No Change,DMTF1,,0.0011171296089386544
Rest,0,No Change,DR1,,0.0030347383800435786
Rest,0,No Change,E2F6,,0.005322224323306905
Rest,0,No Change,E2F7,,0.000186026544032423
Rest,0,No Change,FLI1,,0.01729494232196216
Rest,0,No Change,FOSL2,,0.0018177815242907233
Rest,0,No Change,FOXK1,,0.010270914796392713
Rest,0,No Change,GTF2I,,0.004243273592583901
Rest,0,No Change,HMG20B,,2.1657469845503225e-05
Rest,0,No Change,HOXB4,,0.005649839567584881
Rest,0,No Change,IKZF1,,0.0024817488831368074
Rest,0,No Change,IRF1,,0.021974789544658774
Rest,0,No Change,IRF2,,0.006748632877084728
Rest,0,No Change,JUND,,0.013794418688144197
Rest,0,No Change,KDM2A,,0.02168786064098902
Rest,0,No Change,KLF7,,0.002156987336187246
Rest,0,No Change,L3MBTL3,,0.00338977258921542
Rest,0,No Change,LCOR,,0.0011073921481076843
Rest,0,No Change,MLX,,0.0006481879741253213
Rest,0,No Change,MXD1,,3.032609313515103e-05
Rest,0,No Change,NFX1,,0.0003496221186703725
Rest,0,No Change,NR4A1,,0.00042455733834227216
Rest,0,No Change,PHF19,,0.017668113283038016
Rest,0,No Change,PURB,,2.7615625807971358e-05
Rest,0,No Change,RBAK,,0.0018315746796593252
Rest,0,No Change,RBPJ,,0.002416208385693249
Rest,0,No Change,RFX7,,0.00015379111626179828
Rest,0,No Change,RREB1,,0.010836578019733348
Rest,0,No Change,SKI,,0.001698927034078357
Rest,0,No Change,SP4,,0.00011506759735948768
Rest,0,No Change,STAT5B,,0.12220041817413092
Rest,0,No Change,STAT6,,0.0001902809948755219
Rest,0,No Change,TBPL1,,0.0008950517388473903
Rest,0,No Change,TFE3,,0.00050411528901044
Rest,0,No Change,TMF1,,2.900748663665615e-05
Rest,0,No Change,XBP1,,0.006767644654715032
Rest,0,No Change,YY1,,0.012166273343318514
Rest,0,No Change,ZBED1,,0.0020324746154245935
Rest,0,No Change,ZBTB21,,0.0018658983495550804
Rest,0,No Change,ZBTB3,,0.0012158150867317597
Rest,0,No Change,ZBTB37,,0.000497487611551387
Rest,0,No Change,ZBTB44,,0.00737372655874941
Rest,0,No Change,ZFP3,,0.0010522370501281069
Rest,0,No Change,ZHX3,,0.0016278169312177605
Rest,0,No Change,ZNF140,,0.0023398887403903714
Rest,0,No Change,ZNF146,,0.004768966553024518
Rest,0,No Change,ZNF211,,0.0010733046963257368
Rest,0,No Change,ZNF221,,0.0065676379435457
Rest,0,No Change,ZNF227,,0.0013345753572717367
Rest,0,No Change,ZNF25,,0.00017931782546359891
Rest,0,No Change,ZNF311,,0.0013633219187184332
Rest,0,No Change,ZNF35,,0.001083489543629986
Rest,0,No Change,ZNF384,,0.002714890000139586
Rest,0,No Change,ZNF414,,0.006757417397825495
Rest,0,No Change,ZNF496,,0.0016001900194888778
Rest,0,No Change,ZNF507,,0.000956971610013356
Rest,0,No Change,ZNF526,,0.0012741345113179221
Rest,0,No Change,ZNF554,,0.01712474201777198
Rest,0,No Change,ZNF561,,0.001447571894987654
Rest,0,No Change,ZNF619,,0.00013814454779434378
Rest,0,No Change,ZNF626,,1.637983701401772e-05
Rest,0,No Change,ZNF627,,0.0544790005656726
Rest,0,No Change,ZNF644,,0.015104066364179172
Rest,0,No Change,ZNF646,,0.0001877247008214292
Rest,0,No Change,ZNF671,,0.0008449540164149238
Rest,0,No Change,ZNF682,,0.0003531136666524759
Rest,0,No Change,ZNF70,,0.003980661648541895
Rest,0,No Change,ZNF764,,1.4538491130442403e-05
Rest,0,No Change,ZNF770,,0.000709814731740575
Rest,0,No Change,ZNF800,,0.002023822703293299
Rest,0,No Change,ZSCAN22,,0.004243796608039814
Rest,0,Train Mean,ADNP,0.032655147603934356,0.0028912413216914267
Rest,0,Train Mean,AHRR,-0.01288783989033885,6.309321969165381e-05
Rest,0,Train Mean,ARID5A,-0.0006618665069828744,0.00017118854310007936
Rest,0,Train Mean,ATF7,0.010241927779444071,0.00021569229098758575
Rest,0,Train Mean,BACH1,0.0013781727935547009,0.000258729024246637
Rest,0,Train Mean,BHLHE40,0.06826694374650694,0.035457807414244244
Rest,0,Train Mean,CAMTA1,0.022438741847506254,0.0012781803138813637
Rest,0,Train Mean,CC2D1A,0.01852241272984027,0.00015548398511545174
Rest,0,Train Mean,CLOCK,-0.0004412816637372657,0.0007140931599724711
Rest,0,Train Mean,CREB1,0.08209497318940323,0.008938714060150735
Rest,0,Train Mean,CREBZF,0.005024898488630713,0.00015630825051815615
Rest,0,Train Mean,DMTF1,0.002714084139091205,0.0011700222558720106
Rest,0,Train Mean,DR1,0.03863144199885499,0.0030603621681018203
Rest,0,Train Mean,E2F6,0.07302299382928382,0.005294746130469519
Rest,0,Train Mean,E2F7,0.002080109881740761,0.00023761572308059388
Rest,0,Train Mean,FLI1,0.033578417989521415,0.017290197033177444
Rest,0,Train Mean,FOSL2,0.0030116623241228276,0.0018678125008242167
Rest,0,Train Mean,FOXK1,0.03492980460582629,0.010267956259248926
Rest,0,Train Mean,GTF2I,0.048406292798385195,0.004245011419000649
Rest,0,Train Mean,HMG20B,-0.0003575906575937898,7.439526905654573e-05
Rest,0,Train Mean,HOXB4,0.02613957894787905,0.005667985642930178
Rest,0,Train Mean,IKZF1,0.042880637485827336,0.0025006727856097914
Rest,0,Train Mean,IRF1,0.03301643220517578,0.022000870244495502
Rest,0,Train Mean,IRF2,-0.01221093683500118,0.006805040369059598
Rest,0,Train Mean,JUND,0.059399007174021745,0.01373341534648159
Rest,0,Train Mean,KDM2A,0.04156527589630689,0.021668575788417348
Rest,0,Train Mean,KLF7,0.014163033160727964,0.0022011621412602283
Rest,0,Train Mean,L3MBTL3,0.0069131484394534745,0.003428339423899852
Rest,0,Train Mean,LCOR,-0.006870970108835388,0.001164656466203321
Rest,0,Train Mean,MLX,0.026965948656650793,0.0006925103842371802
Rest,0,Train Mean,MXD1,-0.0026289981894269737,8.321212398767908e-05
Rest,0,Train Mean,NFX1,0.09593547800363612,0.00037646946754722244
Rest,0,Train Mean,NR4A1,-0.0286297893270853,0.00048449889700755453
Rest,0,Train Mean,PHF19,0.08754032136773846,0.017522055332847977
Rest,0,Train Mean,PURB,0.014141259683619489,7.925758244524892e-05
Rest,0,Train Mean,RBAK,0.0005587266410650403,0.001881931520982328
Rest,0,Train Mean,RBPJ,0.004164058421757602,0.0024570347486791632
Rest,0,Train Mean,RFX7,-0.002731916513356081,0.00020763738908530804
Rest,0,Train Mean,RREB1,0.019760768729538653,0.010846632535547568
Rest,0,Train Mean,SKI,0.028967915810035213,0.001734437739776728
Rest,0,Train Mean,SP4,-0.006415466810637592,0.0001681183068645386
