state,model,median_pearson,q25_pearson,q75_pearson,median_l2,n_tfs
Rest,Train Mean,0.012603943908754172,0.0010976247518164554,0.051716650879261424,0.0013172499054995264,409
Rest,"kNN (k=25, cosine)",0.0010232006265704203,-0.00131697044629525,0.01652340596163525,0.0016397142480486038,409
Rest,"kNN (k=10, cosine)",0.00015664082959372688,-0.0009877499608354663,0.006528015147674502,0.0022076299555895936,409
Rest,"kNN (k=5, cosine)",-2.053561409803438e-05,-0.0007517369612237764,0.0008833709277264596,0.003030246504213685,409
Rest,No Change,,,,0.0012843466821078862,409
Stim8hr,Train Mean,0.00969055122194903,0.00016353868407187488,0.03603535173136992,0.001006971875278018,429
Stim8hr,"kNN (k=25, cosine)",0.0007615218906189272,-0.0007804788959251411,0.012227263984677963,0.0012704236870369914,429
Stim8hr,"kNN (k=10, cosine)",0.00022960604468637562,-0.0006351017256329188,0.003559360194550121,0.002079609773811623,429
Stim8hr,"kNN (k=5, cosine)",7.546721189469915e-05,-0.0004804921869369329,0.0011578899598878895,0.0030243624771503926,429
Stim8hr,No Change,,,,0.0009790365267193185,429
