candidate_TF,neighbor_rank,neighbor_TF_in_perturbseq_rest,distance,similarity_approx
AKAP8,1,ZNF827,0.42227928725512076,0.5777207127448792
AKAP8,2,CREBL2,0.45001417406015176,0.5499858259398482
AKAP8,3,ZNF133,0.4757552762734292,0.5242447237265708
AKAP8,4,SREBF2,0.5223390004486277,0.4776609995513723
AKAP8,5,SP3,0.5300502498433383,0.46994975015666174
AKAP8,6,MXD1,0.5402413360678855,0.4597586639321145
AKAP8,7,ZEB1,0.5641711897656714,0.4358288102343286
AKAP8,8,ZNF589,0.576171489537241,0.42382851046275904
AKAP8,9,RBCK1,0.5922108586377208,0.4077891413622792
AKAP8,10,ZIK1,0.5964143754038137,0.4035856245961863
AKNA,1,ZNF35,0.17387533092449348,0.8261246690755065
AKNA,2,ZHX3,0.17510096874646952,0.8248990312535305
AKNA,3,NR4A1,0.17706041147151974,0.8229395885284803
AKNA,4,FBXL19,0.21570529207602285,0.7842947079239772
AKNA,5,ZNF260,0.21961915953979372,0.7803808404602063
AKNA,6,POGK,0.22711775541385282,0.7728822445861472
AKNA,7,TP73,0.22880689632874662,0.7711931036712534
AKNA,8,E2F1,0.24577623020696082,0.7542237697930392
AKNA,9,NFE2L1,0.25408772969575677,0.7459122703042432
AKNA,10,ZNF343,0.2567560644703577,0.7432439355296423
ANKZF1,1,TCFL5,0.21732498888210972,0.7826750111178903
ANKZF1,2,ZNF646,0.22171427146420486,0.7782857285357951
ANKZF1,3,ZNF394,0.23164439040162987,0.7683556095983701
ANKZF1,4,ZNF653,0.2456468357288053,0.7543531642711947
ANKZF1,5,ZBTB9,0.26843234968858076,0.7315676503114192
ANKZF1,6,ZNF414,0.27013534997822064,0.7298646500217794
ANKZF1,7,NFAT5,0.27107398783309755,0.7289260121669024
ANKZF1,8,ZNF785,0.28547254059156635,0.7145274594084337
ANKZF1,9,ZNF486,0.287993737014846,0.712006262985154
ANKZF1,10,ZNF692,0.29835339470338407,0.7016466052966159
ARID5B,1,ZNF644,0.3164602987560794,0.6835397012439206
ARID5B,2,MAFG,0.37862439843285167,0.6213756015671483
