source_TF,target_gene,log2FC,culture_condition,evidence
AC008770.3,GNLY,-0.8596956366183709,Rest,kNN_predicted
AC008770.3,LGMN,0.6696146686531845,Rest,kNN_predicted
AC008770.3,STON2,0.5405214076155737,Rest,kNN_predicted
AC138696.1,CFH,0.5182490088768497,Rest,kNN_predicted
AHCTF1,CFH,0.5200501464522254,Rest,kNN_predicted
AKAP8,CCL1,0.6043813372501158,Rest,kNN_predicted
AKAP8,COL6A2,0.5026727335131755,Rest,kNN_predicted
AKAP8,CRTAM,0.506202029815493,Rest,kNN_predicted
AKAP8,EVC,0.7546121994094938,Rest,kNN_predicted
AKAP8,GNG4,0.6707993071086096,Rest,kNN_predicted
AKAP8,LAG3,0.8437300524836308,Rest,kNN_predicted
AKAP8,LAYN,0.5418033149139991,Rest,kNN_predicted
ALX3,NR4A1,0.5247858429329256,Rest,kNN_predicted
ANHX,FAM20C,0.6220296382988244,Rest,kNN_predicted
ANHX,KIF26A,0.546995669801051,Rest,kNN_predicted
ANHX,ZNF347,0.5548755032981382,Rest,kNN_predicted
ANHX,ZNF844,0.6525095581685868,Rest,kNN_predicted
ANHX,ZSCAN18,0.706307579912409,Rest,kNN_predicted
ARGFX,BAIAP2L1,0.5841056734257433,Rest,kNN_predicted
ARGFX,IRF6,0.5308625119339149,Rest,kNN_predicted
ARGFX,LSR,0.5563958340029068,Rest,kNN_predicted
ARGFX,PYROXD2,0.5194876280803782,Rest,kNN_predicted
ARGFX,SPINT2,0.5440474138610746,Rest,kNN_predicted
ARGFX,TIMP2,0.5372724747494598,Rest,kNN_predicted
ARHGAP35,RTKN2,-0.6044704415659555,Rest,kNN_predicted
ARNTL,LYZ,-1.1609608025392322,Rest,kNN_predicted
ARX,PMCH,0.5715213382274696,Rest,kNN_predicted
ARX,TIMP2,0.5043758532450311,Rest,kNN_predicted
ASCL2,ADAMTS1,-0.5156398181336228,Rest,kNN_predicted
ASCL2,LYZ,-0.5070927102501812,Rest,kNN_predicted
ASCL2,RTKN2,-0.6507847966716683,Rest,kNN_predicted
ASCL3,CCL1,0.6334923794835879,Rest,kNN_predicted
ASCL3,COL6A2,0.5268848100168898,Rest,kNN_predicted
ASCL3,CRTAM,0.5305841008034491,Rest,kNN_predicted
ASCL3,GNG4,0.5071730583110095,Rest,kNN_predicted
ASCL4,NR4A1,0.522828067624767,Rest,kNN_predicted
ASCL5,IL5,0.5040157880914838,Rest,kNN_predicted
ASCL5,LYZ,-0.9273685844092893,Rest,kNN_predicted
ATF2,KLRB1,0.547802231313909,Rest,kNN_predicted
ATF2,NR4A1,0.5625905896060887,Rest,kNN_predicted
ATF2,SPP1,0.5355754138176737,Rest,kNN_predicted
ATF3,MEST,0.5040105153186774,Rest,kNN_predicted
ATF5,GNLY,-0.5617580223278895,Rest,kNN_predicted
BACH2,IRX3,-0.6224754865362954,Rest,kNN_predicted
BARHL1,FAM20C,0.5807426563251533,Rest,kNN_predicted
BARHL1,KIF26A,0.5106890391065456,Rest,kNN_predicted
BARHL1,ZNF347,0.5180458516356296,Rest,kNN_predicted
BARHL1,ZNF844,0.6091994830418893,Rest,kNN_predicted
BARHL1,ZSCAN18,0.6594266814403306,Rest,kNN_predicted
BARX2,IL4,0.6751107551736043,Rest,kNN_predicted
BARX2,NR4A1,0.5225104636213235,Rest,kNN_predicted
BATF2,LYZ,-0.5156954759584823,Rest,kNN_predicted
BAZ2B,SLC35G2,0.5248190627238788,Rest,kNN_predicted
BAZ2B,SYP,0.506272130832688,Rest,kNN_predicted
BBX,ADAMTS1,-0.5009511628288079,Rest,kNN_predicted
BBX,RTKN2,-0.6322463649607042,Rest,kNN_predicted
BHLHA15,GSDME,0.530241935926276,Rest,kNN_predicted
BHLHA15,PMCH,0.5780925380692378,Rest,kNN_predicted
BHLHA15,SPINT2,0.5578996038922186,Rest,kNN_predicted
BHLHE22,AFF2,0.5631207658770196,Rest,kNN_predicted
BHLHE22,BAIAP2L1,0.582971085089606,Rest,kNN_predicted
BHLHE22,FAM20C,0.8876233821678565,Rest,kNN_predicted
BHLHE22,IRF6,0.5298313450722746,Rest,kNN_predicted
BHLHE22,KIF26A,0.5385159675363731,Rest,kNN_predicted
BHLHE22,LSR,0.5553150702776847,Rest,kNN_predicted
BHLHE22,SPINT2,0.5429906361611558,Rest,kNN_predicted
BHLHE22,ZNF347,0.5462736453279593,Rest,kNN_predicted
BHLHE22,ZNF844,0.6423941457739355,Rest,kNN_predicted
BHLHE22,ZSCAN18,0.6953581733346187,Rest,kNN_predicted
BHLHE23,SPP1,0.5210252606196359,Rest,kNN_predicted
BHLHE41,NR4A1,0.5594277081770828,Rest,kNN_predicted
BNC1,LHFPL6,0.5015721867635468,Rest,kNN_predicted
BNC1,PMCH,0.502479080157923,Rest,kNN_predicted
BNC1,SPP1,0.6370688511690941,Rest,kNN_predicted
BNC2,SPP1,0.6263090339191646,Rest,kNN_predicted
BORCS8-MEF2B,KLRB1,0.5353938270579837,Rest,kNN_predicted
BORCS8-MEF2B,PMCH,0.5843017609718758,Rest,kNN_predicted
BRF2,CCL1,0.6008448717487704,Rest,kNN_predicted
BRF2,CRTAM,0.8428891225735727,Rest,kNN_predicted
BSX,CCL1,0.5948788662953345,Rest,kNN_predicted
BSX,CRTAM,0.8345197724495054,Rest,kNN_predicted
BSX,PLAAT3,0.5157590774211711,Rest,kNN_predicted
C11ORF95,HHLA2,0.6215564380540299,Rest,kNN_predicted
C11ORF95,LHFPL6,0.5073291379006283,Rest,kNN_predicted
C11ORF95,PMCH,0.8531922322928217,Rest,kNN_predicted
C11ORF95,SPP1,0.6443810075125359,Rest,kNN_predicted
C11ORF95,XCL2,0.6610921860320819,Rest,kNN_predicted
CAMTA2,FAM20C,0.6278249115647813,Rest,kNN_predicted
CAMTA2,KIF26A,0.5520918729184164,Rest,kNN_predicted
CAMTA2,MAML3,0.5534210671766153,Rest,kNN_predicted
CAMTA2,NEIL1,0.5006341402318747,Rest,kNN_predicted
CAMTA2,ZNF347,0.560045120583566,Rest,kNN_predicted
CAMTA2,ZNF844,0.6585888041810076,Rest,kNN_predicted
CAMTA2,ZSCAN18,0.7128880467959543,Rest,kNN_predicted
CBX2,HLF,0.6838320058839943,Rest,kNN_predicted
CCDC169-SOHLH2,IFIT2,0.502072851901156,Rest,kNN_predicted
CCDC169-SOHLH2,IL22,0.537496535001478,Rest,kNN_predicted
CCDC17,KLRB1,0.5264587175741446,Rest,kNN_predicted
CDC5L,DGKI,0.5564360317433449,Rest,kNN_predicted
CDX1,GZMK,0.5381491611604992,Rest,kNN_predicted
CDX4,STON2,0.5561299315989403,Rest,kNN_predicted
CENPB,GNLY,-0.5729547734646039,Rest,kNN_predicted
CENPS,CCL1,0.6203796427950864,Rest,kNN_predicted
CENPS,CFH,0.5067233419796413,Rest,kNN_predicted
CENPS,COL6A2,0.5159787565225216,Rest,kNN_predicted
CENPS,CRTAM,0.519601475234042,Rest,kNN_predicted
CENPS,FAM20C,0.591095637841809,Rest,kNN_predicted
CENPS,HHLA2,0.5236955455767698,Rest,kNN_predicted
CENPS,PMCH,0.7824852929659506,Rest,kNN_predicted
CENPX,CCL1,0.6251595903261535,Rest,kNN_predicted
CENPX,CRTAM,0.8769987784447526,Rest,kNN_predicted
CENPX,HMOX1,0.5062664364605897,Rest,kNN_predicted
CHCHD3,CCL3,0.5514366545774408,Rest,kNN_predicted
CHCHD3,FXYD2,1.002397564105073,Rest,kNN_predicted
CHCHD3,KLRG1,0.51030955382575,Rest,kNN_predicted
CHCHD3,P2RY14,0.7701668695746274,Rest,kNN_predicted
CPEB1,GNLY,-0.6695397342286706,Rest,kNN_predicted
CREB3,CCL3,0.5285093003594129,Rest,kNN_predicted
CREB3,CHST2,0.591437575712444,Rest,kNN_predicted
CREB3,NTNG2,0.5636810831487963,Rest,kNN_predicted
CREB3L4,CCL1,0.628436556343358,Rest,kNN_predicted
CREB3L4,CRTAM,0.8815958369216033,Rest,kNN_predicted
CREB3L4,FAM43A,0.5049011273861402,Rest,kNN_predicted
CREB3L4,FASLG,0.6815719876230003,Rest,kNN_predicted
CREB3L4,HMOX1,0.5089201874924936,Rest,kNN_predicted
CREB3L4,TNIP3,0.6152001680015222,Rest,kNN_predicted
CREM,PYROXD2,0.5178100591303646,Rest,kNN_predicted
CREM,TIMP2,0.5355374736202372,Rest,kNN_predicted
CSRNP3,BAIAP2L1,0.5849960738360108,Rest,kNN_predicted
CSRNP3,GNLY,-0.5592327578589802,Rest,kNN_predicted
CSRNP3,IRF6,0.5316717494057055,Rest,kNN_predicted
CSRNP3,LSR,0.5572439940215586,Rest,kNN_predicted
CSRNP3,MEST,0.503897438534291,Rest,kNN_predicted
CSRNP3,SPINT2,0.544876750165353,Rest,kNN_predicted
CTCF,LHFPL6,0.5249766248048154,Rest,kNN_predicted
CTCF,PMCH,0.5259258357973736,Rest,kNN_predicted
CTCF,SPP1,0.6667958552747628,Rest,kNN_predicted
CTCFL,LYZ,-0.9150812338777302,Rest,kNN_predicted
CUX2,TIMP2,0.5123385264555849,Rest,kNN_predicted
DBX1,PMCH,0.6306110915244613,Rest,kNN_predicted
DBX2,NR4A1,0.5265174764492642,Rest,kNN_predicted
DDIT3,FAM20C,0.5925817459587687,Rest,kNN_predicted
DDIT3,GZMH,-0.5191921625008313,Rest,kNN_predicted
DDIT3,IL5,0.5274252019347649,Rest,kNN_predicted
DDIT3,KIF26A,0.5211000072746943,Rest,kNN_predicted
DDIT3,ZNF347,0.5286067966687474,Rest,kNN_predicted
DDIT3,ZNF844,0.6216186969672514,Rest,kNN_predicted
DDIT3,ZSCAN18,0.6728698330727094,Rest,kNN_predicted
DLX1,PMCH,0.5792863445362113,Rest,kNN_predicted
DLX3,CCL1,0.6217934624455165,Rest,kNN_predicted
DLX3,COL6A2,0.517154650853756,Rest,kNN_predicted
DLX3,CRTAM,0.5207856255919882,Rest,kNN_predicted
DLX4,SPP1,0.6253164189843713,Rest,kNN_predicted
DLX5,L1CAM,0.5126687317665307,Rest,kNN_predicted
DLX5,SLC35G2,0.5451584287013354,Rest,kNN_predicted
DLX5,SYP,0.5258927103515582,Rest,kNN_predicted
DMBX1,CCL4,0.5047728134436781,Rest,kNN_predicted
DMRT3,CCL1,0.6222148054679102,Rest,kNN_predicted
DMRT3,CD200,0.5300589976459407,Rest,kNN_predicted
DMRT3,CRTAM,0.938169873006732,Rest,kNN_predicted
DMRT3,CYP1B1,-0.5047941976007259,Rest,kNN_predicted
DMRT3,EGR2,0.5073633248612842,Rest,kNN_predicted
DMRT3,FASLG,0.5883145247008598,Rest,kNN_predicted
DMRT3,HMOX1,0.541578768495084,Rest,kNN_predicted
DMRT3,POU2AF1,0.5193952438481728,Rest,kNN_predicted
DMRT3,SDC4,0.5527022396567092,Rest,kNN_predicted
DMRTA1,SPP1,0.5013491467480066,Rest,kNN_predicted
DMRTA2,IL22,0.5346229523206744,Rest,kNN_predicted
DMRTB1,FXYD2,0.625686654229402,Rest,kNN_predicted
DMRTB1,IKZF2,0.7132988641008196,Rest,kNN_predicted
DMRTB1,KLRB1,0.6740811092864105,Rest,kNN_predicted
DMRTB1,KLRG1,0.5198234331455894,Rest,kNN_predicted
DMRTB1,P2RY14,0.5775710863190479,Rest,kNN_predicted
DMRTC2,SPP1,0.5624437432835697,Rest,kNN_predicted
DNMT1,C15ORF48,0.5028373431749336,Rest,kNN_predicted
DNMT1,LYZ,-0.7121234447505396,Rest,kNN_predicted
DNMT1,MAML3,0.5146107866215034,Rest,kNN_predicted
DNMT1,TOX2,0.5664724155532803,Rest,kNN_predicted
DPF3,ZSCAN18,0.5111167099365445,Rest,kNN_predicted
DRAP1,CFH,0.507418084814949,Rest,kNN_predicted
DRAP1,LYZ,-0.9075707487464827,Rest,kNN_predicted
DUX1,PMCH,0.5828507194830854,Rest,kNN_predicted
DUX4,TIMP2,0.5140625551073641,Rest,kNN_predicted
E2F2,PYROXD2,0.5056975715052728,Rest,kNN_predicted
E2F2,TIMP2,0.5230103106043389,Rest,kNN_predicted
E2F5,FAM20C,0.5967464726726059,Rest,kNN_predicted
E2F5,IL5,0.5548280619974171,Rest,kNN_predicted
