source_TF,target_gene,log2FC,culture_condition,evidence
AC092835.1,IGSF3,0.533341608685684,Stim8hr,kNN_predicted
AEBP1,ANPEP,0.5923723190632944,Stim8hr,kNN_predicted
AEBP1,CLCF1,0.5041067955041197,Stim8hr,kNN_predicted
AEBP1,HMOX1,0.5338232300751165,Stim8hr,kNN_predicted
AEBP1,MAP2K6,0.5676639057960914,Stim8hr,kNN_predicted
AHCTF1,IL6,0.5681965206328383,Stim8hr,kNN_predicted
AKAP8,TCN2,0.5324571795979253,Stim8hr,kNN_predicted
AKAP8,TGFB1I1,0.5116782726841261,Stim8hr,kNN_predicted
ALX1,IL22,-0.5033043578348121,Stim8hr,kNN_predicted
ALX1,RORC,0.5757008502114257,Stim8hr,kNN_predicted
ALX3,MGLL,0.5474113977083431,Stim8hr,kNN_predicted
ALX4,STON1,0.5505142934696718,Stim8hr,kNN_predicted
ANHX,ZNF347,0.5445021108709203,Stim8hr,kNN_predicted
ANHX,ZNF844,0.6295611077248727,Stim8hr,kNN_predicted
ANHX,ZSCAN18,0.6591884123822004,Stim8hr,kNN_predicted
AR,CXCL8,-0.517453337180622,Stim8hr,kNN_predicted
AR,IL22,-0.8217508095547995,Stim8hr,kNN_predicted
ARGFX,BAIAP2L1,0.5530318135335517,Stim8hr,kNN_predicted
ARGFX,CD93,0.557237979325011,Stim8hr,kNN_predicted
ARGFX,FCER1G,0.5488706080194816,Stim8hr,kNN_predicted
ARGFX,FCGBP,0.559806031403989,Stim8hr,kNN_predicted
ARGFX,FGD2,0.5063594003868439,Stim8hr,kNN_predicted
ARGFX,GNLY,0.6511876002479263,Stim8hr,kNN_predicted
ARGFX,LSR,0.8501687389601634,Stim8hr,kNN_predicted
ARGFX,MYO18B,0.5092575918243166,Stim8hr,kNN_predicted
ARGFX,ODAPH,0.5924357648267108,Stim8hr,kNN_predicted
ARGFX,S100P,0.5037145955751202,Stim8hr,kNN_predicted
ARGFX,TEX29,0.6554311640599491,Stim8hr,kNN_predicted
ARGFX,TMEM30B,0.5069514289461712,Stim8hr,kNN_predicted
ARHGAP35,IL13,-0.5472511305905954,Stim8hr,kNN_predicted
ARID3C,IL10,-1.3704082212776125,Stim8hr,kNN_predicted
ARID5B,IL5,-0.539976918459726,Stim8hr,kNN_predicted
ARNT2,IL5,-0.9573360371849792,Stim8hr,kNN_predicted
ARX,IL5,-0.7078774281168476,Stim8hr,kNN_predicted
ASCL1,IL22,-0.5364773169419985,Stim8hr,kNN_predicted
ASCL1,IL5,-0.994079790995469,Stim8hr,kNN_predicted
ASCL2,IL13,-0.5867322852490657,Stim8hr,kNN_predicted
ASCL3,CCL4,-0.5167644659575203,Stim8hr,kNN_predicted
ASCL3,CCR6,0.5505635176189079,Stim8hr,kNN_predicted
ASCL3,LTK,0.5685866901648414,Stim8hr,kNN_predicted
ASCL3,PTPN13,0.5829225186568924,Stim8hr,kNN_predicted
ATF3,CD8A,0.545599542774859,Stim8hr,kNN_predicted
ATF5,CCL4,-0.511774975884071,Stim8hr,kNN_predicted
ATOH7,IL22,-0.555417069638301,Stim8hr,kNN_predicted
BARHL1,CCL4,-0.5162362002598472,Stim8hr,kNN_predicted
BARX2,IL22,-0.5571249731987207,Stim8hr,kNN_predicted
BATF2,IL2,0.6021086760989344,Stim8hr,kNN_predicted
BATF2,IL5,-1.0066345633365328,Stim8hr,kNN_predicted
BAZ2B,CCL4L2,0.727382339094482,Stim8hr,kNN_predicted
BAZ2B,IL22,-0.8075784417850106,Stim8hr,kNN_predicted
BAZ2B,LAIR2,0.5568024034828329,Stim8hr,kNN_predicted
BAZ2B,LGMN,-0.6509087752804377,Stim8hr,kNN_predicted
BHLHA15,CCL1,-0.7426344388421194,Stim8hr,kNN_predicted
BHLHA15,CCL4,-0.5388347233879132,Stim8hr,kNN_predicted
BHLHA15,IL3,-0.6234413136801333,Stim8hr,kNN_predicted
BHLHA15,IL5,-1.121020498832149,Stim8hr,kNN_predicted
