network,comparison,edge,type
scPRINT2,CD4,THAP1 -> CKS2,conserved
scPRINT2,CD4,THAP7 -> CYB5R4,conserved
scPRINT2,CD4,MTF1 -> RITA1,conserved
scPRINT2,CD4,GPBP1 -> NDUFB2,conserved
scPRINT2,CD4,YBX1 -> MT-CO1,conserved
scPRINT2,CD4,GPBP1 -> TCF7,conserved
scPRINT2,CD4,MTF1 -> PPP1R15B,conserved
scPRINT2,CD4,MTF1 -> SETD5,conserved
scPRINT2,CD4,MTF1 -> MRPL16,conserved
scPRINT2,CD4,GPBP1 -> HTRA2,conserved
scPRINT2,CD4,SREBF1 -> RUVBL2,conserved
scPRINT2,CD4,GPBP1 -> SON,conserved
scPRINT2,CD4,MTF1 -> TMEM245,conserved
scPRINT2,CD4,NR3C1 -> TPI1,conserved
scPRINT2,CD4,HIVEP2 -> HNRNPC,conserved
scPRINT2,CD4,GPBP1 -> RDX,conserved
scPRINT2,CD4,ZNF121 -> ARL14EP,conserved
scPRINT2,CD4,NR3C1 -> APEX1,conserved
scPRINT2,CD4,GPBP1 -> TPGS2,conserved
scPRINT2,CD4,MAFF -> WBP11,conserved
scPRINT2,CD4,SOX8 -> PHPT1,rest_only
scPRINT2,CD4,NR1H3 -> VPS25,rest_only
scPRINT2,CD4,SREBF1 -> CHCHD7,rest_only
scPRINT2,CD4,MTF1 -> ETS2,rest_only
scPRINT2,CD4,ZNF121 -> CRBN,rest_only
scPRINT2,CD4,PREB -> DPP7,rest_only
scPRINT2,CD4,DNTTIP1 -> RHOA,rest_only
scPRINT2,CD4,GPBP1 -> EOMES,rest_only
scPRINT2,CD4,MEF2C -> EPS8L2,rest_only
scPRINT2,CD4,GABPA -> ESF1,rest_only
scPRINT2,CD4,FOXB1 -> CDC5L,rest_only
scPRINT2,CD4,EGR1 -> MAZ,rest_only
scPRINT2,CD4,NFYC -> TALDO1,rest_only
scPRINT2,CD4,MEF2C -> ARID4B,rest_only
scPRINT2,CD4,ELF4 -> RAD23A,rest_only
scPRINT2,CD4,STAT5A -> CLNS1A,rest_only
scPRINT2,CD4,ZNF121 -> SBDS,rest_only
scPRINT2,CD4,HIVEP2 -> NFYA,rest_only
scPRINT2,CD4,NR3C1 -> SYAP1,rest_only
scPRINT2,CD4,SREBF1 -> SH2B3,rest_only
scPRINT2,CD4,NR3C1 -> RP9,act_only
scPRINT2,CD4,GPBP1L1 -> TMEM116,act_only
scPRINT2,CD4,FOSB -> ETS1,act_only
scPRINT2,CD4,FOSB -> MGAT2,act_only
scPRINT2,CD4,ZNF397 -> HSF1,act_only
scPRINT2,CD4,FOSB -> TESC,act_only
scPRINT2,CD4,SREBF1 -> BST2,act_only
scPRINT2,CD4,GPBP1 -> DESI2,act_only
scPRINT2,CD4,YBX1 -> TIGIT,act_only
scPRINT2,CD4,PREB -> SIGMAR1,act_only
scPRINT2,CD4,PREB -> DDX17,act_only
scPRINT2,CD4,THAP7 -> TP53BP2,act_only
scPRINT2,CD4,HIVEP2 -> RAD23B,act_only
scPRINT2,CD4,YBX1 -> ATXN2L,act_only
scPRINT2,CD4,SREBF1 -> EPC1,act_only
scPRINT2,CD4,SREBF1 -> TBRG1,act_only
scPRINT2,CD4,ZNF397 -> MTA2,act_only
scPRINT2,CD4,FOSB -> TOMM34,act_only
scPRINT2,CD4,ZNF397 -> MAP3K1,act_only
scPRINT2,CD4,YBX1 -> LAMTOR3,act_only
scPRINT2,CD8,GPBP1 -> LIMA1,conserved
scPRINT2,CD8,THAP7 -> MSMO1,conserved
scPRINT2,CD8,GPBP1 -> WDR4,conserved
scPRINT2,CD8,GPBP1 -> BCL2L11,conserved
scPRINT2,CD8,GPBP1 -> CDK4,conserved
scPRINT2,CD8,THAP1 -> BMI1,conserved
scPRINT2,CD8,ZNF444 -> EFTUD2,conserved
scPRINT2,CD8,GPBP1L1 -> KLF2,conserved
scPRINT2,CD8,THAP7 -> MRPS25,conserved
scPRINT2,CD8,GPBP1 -> CYB5A,conserved
scPRINT2,CD8,GPBP1 -> NDUFB2,conserved
scPRINT2,CD8,THAP1 -> PDXK,conserved
scPRINT2,CD8,NR2F6 -> VMA21,conserved
scPRINT2,CD8,GPBP1 -> FAM133B,conserved
scPRINT2,CD8,GPBP1 -> TCF7,conserved
scPRINT2,CD8,THAP7 -> TP53BP2,conserved
scPRINT2,CD8,GPBP1 -> CTBP1,conserved
scPRINT2,CD8,THAP1 -> MRPL51,conserved
scPRINT2,CD8,GPBP1 -> PGRMC2,conserved
scPRINT2,CD8,GPBP1 -> GNL3,conserved
scPRINT2,CD8,PREB -> DPP7,rest_only
scPRINT2,CD8,SOX2 -> SNAPIN,rest_only
scPRINT2,CD8,SOX4 -> RELA,rest_only
scPRINT2,CD8,GFI1B -> PIGX,rest_only
scPRINT2,CD8,NFYC -> TIPRL,rest_only
scPRINT2,CD8,SOX2 -> CAB39,rest_only
scPRINT2,CD8,MAFF -> WBP11,rest_only
scPRINT2,CD8,GFI1B -> UBXN11,rest_only
scPRINT2,CD8,PREB -> CEBPA,rest_only
scPRINT2,CD8,SOX2 -> LRR1,rest_only
scPRINT2,CD8,NFYC -> CCZ1B,rest_only
scPRINT2,CD8,SOX2 -> HOOK2,rest_only
scPRINT2,CD8,ZNF266 -> MAPKAP1,rest_only
scPRINT2,CD8,GFI1B -> DYNC1I2,rest_only
scPRINT2,CD8,BCL11A -> NME4,rest_only
scPRINT2,CD8,SREBF1 -> NOL10,rest_only
scPRINT2,CD8,PREB -> EIF3J,rest_only
scPRINT2,CD8,ZNF266 -> KATNBL1,rest_only
scPRINT2,CD8,GPBP1 -> PRNP,rest_only
scPRINT2,CD8,SOX2 -> COPB2,rest_only
scPRINT2,CD8,THAP7 -> CDC34,act_only
scPRINT2,CD8,FOSB -> MGAT2,act_only
scPRINT2,CD8,YBX1 -> TIGIT,act_only
scPRINT2,CD8,PBX4 -> SLC39A7,act_only
scPRINT2,CD8,TFEB -> NOM1,act_only
scPRINT2,CD8,ERF -> PLEKHB2,act_only
scPRINT2,CD8,PBX4 -> MZT1,act_only
scPRINT2,CD8,DEAF1 -> STUB1,act_only
scPRINT2,CD8,ZFP14 -> MAF1,act_only
scPRINT2,CD8,GPBP1L1 -> PPIH,act_only
scPRINT2,CD8,DEAF1 -> PRMT5,act_only
scPRINT2,CD8,TFEB -> TMEM222,act_only
scPRINT2,CD8,THAP1 -> MED28,act_only
scPRINT2,CD8,PBX4 -> MED8,act_only
scPRINT2,CD8,TFEB -> RPS27A,act_only
scPRINT2,CD8,ZNF444 -> VPS36,act_only
scPRINT2,CD8,ZFP14 -> SLC7A6,act_only
scPRINT2,CD8,THAP1 -> CIAPIN1,act_only
scPRINT2,CD8,FOSB -> SUPT16H,act_only
scPRINT2,CD8,ZFP14 -> SMAD3,act_only
Perturb-seq,Rest_vs_Stim8hr,AHR -> MCOLN2,conserved
Perturb-seq,Rest_vs_Stim8hr,AHR -> RBM43,conserved
Perturb-seq,Rest_vs_Stim8hr,AHR -> C15ORF39,conserved
Perturb-seq,Rest_vs_Stim8hr,AHR -> HADHB,conserved
Perturb-seq,Rest_vs_Stim8hr,ZNF710 -> CDCA5,conserved
Perturb-seq,Rest_vs_Stim8hr,ZEB1 -> CYB5A,conserved
Perturb-seq,Rest_vs_Stim8hr,STAT3 -> NELL2,conserved
Perturb-seq,Rest_vs_Stim8hr,ZNF554 -> EMP3,conserved
Perturb-seq,Rest_vs_Stim8hr,ADNP -> C9ORF40,conserved
Perturb-seq,Rest_vs_Stim8hr,AHR -> FLT3LG,conserved
Perturb-seq,Rest_vs_Stim8hr,NR2C2 -> MED8,conserved
Perturb-seq,Rest_vs_Stim8hr,MGA -> OBSCN,conserved
Perturb-seq,Rest_vs_Stim8hr,SP3 -> MYO1C,conserved
Perturb-seq,Rest_vs_Stim8hr,MYB -> PBX4,conserved
Perturb-seq,Rest_vs_Stim8hr,RFX1 -> DYNLT2B,conserved
Perturb-seq,Rest_vs_Stim8hr,THAP11 -> FDPS,conserved
Perturb-seq,Rest_vs_Stim8hr,ZNF554 -> MTDH,conserved
Perturb-seq,Rest_vs_Stim8hr,FOXO1 -> RNF144A,conserved
Perturb-seq,Rest_vs_Stim8hr,GMEB1 -> CEP78,conserved
Perturb-seq,Rest_vs_Stim8hr,FOXO1 -> GIMAP8,conserved
Perturb-seq,Rest_vs_Stim8hr,GMEB1 -> CHTOP,rest_only
Perturb-seq,Rest_vs_Stim8hr,STAT5B -> SHOC2,rest_only
Perturb-seq,Rest_vs_Stim8hr,FOXO1 -> AMPD2,rest_only
Perturb-seq,Rest_vs_Stim8hr,FOXO1 -> DENND1B,rest_only
Perturb-seq,Rest_vs_Stim8hr,NFAT5 -> PHC1,rest_only
Perturb-seq,Rest_vs_Stim8hr,ZNF254 -> HHLA2,rest_only
Perturb-seq,Rest_vs_Stim8hr,ZNF92 -> GBA1,rest_only
Perturb-seq,Rest_vs_Stim8hr,NFAT5 -> SLFN12L,rest_only
Perturb-seq,Rest_vs_Stim8hr,SETDB1 -> MCM8,rest_only
Perturb-seq,Rest_vs_Stim8hr,AHR -> EXOC5,rest_only
Perturb-seq,Rest_vs_Stim8hr,KLF2 -> PIK3R1,rest_only
Perturb-seq,Rest_vs_Stim8hr,DR1 -> MMAB,rest_only
Perturb-seq,Rest_vs_Stim8hr,RFX1 -> GNB5,rest_only
Perturb-seq,Rest_vs_Stim8hr,ZNF254 -> ANO10,rest_only
Perturb-seq,Rest_vs_Stim8hr,ZNF304 -> C6ORF120,rest_only
Perturb-seq,Rest_vs_Stim8hr,SETDB1 -> ACBD4,rest_only
Perturb-seq,Rest_vs_Stim8hr,FOXO1 -> CCNT2,rest_only
Perturb-seq,Rest_vs_Stim8hr,FOSL2 -> ANKRD6,rest_only
Perturb-seq,Rest_vs_Stim8hr,KLF3 -> MUC1,rest_only
Perturb-seq,Rest_vs_Stim8hr,ZNF221 -> MMS22L,rest_only
Perturb-seq,Rest_vs_Stim8hr,MAX -> EMC1,act_only
Perturb-seq,Rest_vs_Stim8hr,DZIP1 -> IL21,act_only
Perturb-seq,Rest_vs_Stim8hr,ZBTB44 -> BAX,act_only
Perturb-seq,Rest_vs_Stim8hr,ATF4 -> MAST4,act_only
Perturb-seq,Rest_vs_Stim8hr,MAX -> NUDT7,act_only
Perturb-seq,Rest_vs_Stim8hr,ARNT -> HNRNPDL,act_only
Perturb-seq,Rest_vs_Stim8hr,BHLHE40 -> GAMT,act_only
Perturb-seq,Rest_vs_Stim8hr,STAT3 -> ZNF410,act_only
Perturb-seq,Rest_vs_Stim8hr,MAX -> DDX28,act_only
Perturb-seq,Rest_vs_Stim8hr,AHR -> PAIP1,act_only
Perturb-seq,Rest_vs_Stim8hr,BHLHE40 -> ARL2BP,act_only
Perturb-seq,Rest_vs_Stim8hr,MYB -> SLC25A22,act_only
Perturb-seq,Rest_vs_Stim8hr,ZNF675 -> COCH,act_only
Perturb-seq,Rest_vs_Stim8hr,THAP11 -> COMMD4,act_only
Perturb-seq,Rest_vs_Stim8hr,THAP11 -> KAT7,act_only
Perturb-seq,Rest_vs_Stim8hr,BHLHE40 -> HBEGF,act_only
Perturb-seq,Rest_vs_Stim8hr,STAT5A -> SFT2D2,act_only
Perturb-seq,Rest_vs_Stim8hr,HOXB2 -> RASSF5,act_only
Perturb-seq,Rest_vs_Stim8hr,ZNF649 -> INPP4A,act_only
Perturb-seq,Rest_vs_Stim8hr,MAX -> BDH1,act_only
Perturb-seq,Rest_vs_Stim48hr,ASH1L -> IRAK4,conserved
Perturb-seq,Rest_vs_Stim48hr,AHR -> RBM43,conserved
Perturb-seq,Rest_vs_Stim48hr,AHR -> C15ORF39,conserved
Perturb-seq,Rest_vs_Stim48hr,AHR -> HADHB,conserved
Perturb-seq,Rest_vs_Stim48hr,ZEB1 -> CYB5A,conserved
Perturb-seq,Rest_vs_Stim48hr,GATA3 -> DOK2,conserved
Perturb-seq,Rest_vs_Stim48hr,STAT3 -> NELL2,conserved
Perturb-seq,Rest_vs_Stim48hr,ZNF554 -> EMP3,conserved
Perturb-seq,Rest_vs_Stim48hr,ADNP -> C9ORF40,conserved
Perturb-seq,Rest_vs_Stim48hr,NR2C2 -> MED8,conserved
Perturb-seq,Rest_vs_Stim48hr,MGA -> OBSCN,conserved
Perturb-seq,Rest_vs_Stim48hr,SP3 -> MYO1C,conserved
Perturb-seq,Rest_vs_Stim48hr,RFX1 -> DYNLT2B,conserved
Perturb-seq,Rest_vs_Stim48hr,THAP11 -> FDPS,conserved
Perturb-seq,Rest_vs_Stim48hr,ZNF554 -> MTDH,conserved
