TF,pyscenic_present,pyscenic_n_targets,pyscenic_top_3_targets,scprint2_present,scprint2_n_targets,scprint2_top_3_targets,perturb_present,perturb_n_targets,perturb_top_3_targets,in_all_three,shared_across_methods,total_methods
ARID3A,Yes,15,"APPL2, ARHGAP1, ARHGEF7",Yes,150,"ADAM17, AFG3L2, AIMP2",Yes,12,"APEH, CAMK2D, CD27",True,Yes,3
ATF3,Yes,362,"AASDHPPT, ABHD11-AS1, ABHD2",Yes,52,"ANKRD40, APOL6, BRI3",Yes,5,"CDKN2D, EBP, IL1RN",True,Yes,3
BACH1,Yes,13,"CD4, CEBPB, CEPT1",Yes,398,"AATF, ABHD14B, ACADM",Yes,3,"HMOX1, ID1, ZNF850",True,Yes,3
BACH2,Yes,131,"ADAL, ADAMTS6, AKT2",Yes,454,"ABCE1, ACSL5, ACTN4",Yes,16,"CBFB, CISH, DPP4",True,Yes,3
BRF2,Yes,39,"ADGRE5, AK3, DLGAP4",Yes,7,"COPRS, GMFB, MDM2",Yes,1,TRAF7,True,Yes,3
E2F1,Yes,382,"AAAS, ABHD12, ABHD14A",Yes,5,"MAP1LC3A, RHBDD2, S1PR2",Yes,325,"ABCB7, ABCC1, ADAM8",True,Yes,3
EGR1,Yes,120,"ADAM23, ADARB1, ADNP",Yes,1304,"AAK1, AATF, ABCE1",Yes,3,"PTPN22, TBRG4, UBE3A",True,Yes,3
EGR2,Yes,103,"ADAM23, AHDC1, ALAS1",Yes,3,"CISD1, FOXB1, ZNF501",Yes,658,"ABHD10, ABHD14B, ACADM",True,Yes,3
EGR3,Yes,57,"AK1, ARID2, ATG2B",Yes,1,NR1H3,Yes,32,"ABCA2, ACAP2, ACVR1B",True,Yes,3
ELF4,Yes,29,"ACACA, AGFG1, ATL3",Yes,2,"MITD1, RAD23A",Yes,72,"ACTN1, AGPAT2, ANXA11",True,Yes,3
ERF,Yes,177,"AAK1, ABHD5, ABL1",Yes,1200,"AAK1, ABCF2, ABHD14B",Yes,36,"AFAP1, AIM2, AOAH",True,Yes,3
