tf,method,lineage,condition,present
AHR,scPRINT2,CD4,rest,1
AKAP8,scPRINT2,CD4,rest,1
AKNA,scPRINT2,CD4,rest,1
ANKZF1,scPRINT2,CD4,rest,1
ARID3A,scPRINT2,CD4,rest,1
ARID5A,scPRINT2,CD4,rest,1
ARID5B,scPRINT2,CD4,rest,1
ATF1,scPRINT2,CD4,rest,1
ATF2,scPRINT2,CD4,rest,1
ATF3,scPRINT2,CD4,rest,1
ATF4,scPRINT2,CD4,rest,1
ATF5,scPRINT2,CD4,rest,1
ATF6,scPRINT2,CD4,rest,1
ATF7,scPRINT2,CD4,rest,1
BACH1,scPRINT2,CD4,rest,1
BACH2,scPRINT2,CD4,rest,1
BATF,scPRINT2,CD4,rest,1
BATF3,scPRINT2,CD4,rest,1
BCL11A,scPRINT2,CD4,rest,1
BCL11B,scPRINT2,CD4,rest,1
BHLHE40,scPRINT2,CD4,rest,1
BPTF,scPRINT2,CD4,rest,1
BRF2,scPRINT2,CD4,rest,1
CAMTA1,scPRINT2,CD4,rest,1
CAMTA2,scPRINT2,CD4,rest,1
CARF,scPRINT2,CD4,rest,1
CDC5L,scPRINT2,CD4,rest,1
CEBPA,scPRINT2,CD4,rest,1
CEBPB,scPRINT2,CD4,rest,1
CEBPD,scPRINT2,CD4,rest,1
CEBPG,scPRINT2,CD4,rest,1
CEBPZ,scPRINT2,CD4,rest,1
CGGBP1,scPRINT2,CD4,rest,1
CHAMP1,scPRINT2,CD4,rest,1
CHCHD3,scPRINT2,CD4,rest,1
CREB1,scPRINT2,CD4,rest,1
CREB3,scPRINT2,CD4,rest,1
CREM,scPRINT2,CD4,rest,1
CSRNP1,scPRINT2,CD4,rest,1
CTCF,scPRINT2,CD4,rest,1
CUX1,scPRINT2,CD4,rest,1
DBP,scPRINT2,CD4,rest,1
DEAF1,scPRINT2,CD4,rest,1
DNMT1,scPRINT2,CD4,rest,1
DNTTIP1,scPRINT2,CD4,rest,1
DR1,scPRINT2,CD4,rest,1
DRAP1,scPRINT2,CD4,rest,1
E2F4,scPRINT2,CD4,rest,1
E2F6,scPRINT2,CD4,rest,1
EGR1,scPRINT2,CD4,rest,1
