,scPRINT2_CD4_rest,scPRINT2_CD4_act,scPRINT2_CD8_rest,scPRINT2_CD8_act,pySCENIC,Perturb-seq_CD4_Rest,Perturb-seq_CD4_Stim8hr,Perturb-seq_CD4_Stim48hr,total_combinations
YBX1,1,1,1,1,1,1,1,1,8
DEAF1,1,1,1,1,0,1,1,1,7
GPBP1,1,1,1,1,0,1,1,1,7
STAT5A,1,1,1,1,0,1,1,1,7
THAP7,1,1,1,1,0,1,1,1,7
XBP1,1,1,1,1,0,1,1,1,7
IRF1,1,0,1,1,1,1,1,1,7
MAFG,0,1,1,1,1,1,1,1,7
KLF2,1,1,1,1,1,1,0,0,6
EGR1,1,1,1,0,1,0,1,1,6
SREBF1,1,1,1,0,1,0,1,1,6
MYC,1,0,1,1,1,1,1,0,6
FOSL1,1,0,1,1,1,0,1,1,6
IRF8,1,0,1,1,1,0,1,1,6
ARID3A,1,0,1,0,1,1,1,1,6
GABPA,1,0,1,0,1,1,1,1,6
KLF9,1,0,1,0,1,1,1,1,6
ZBTB7B,1,0,1,0,1,1,1,1,6
ZFP82,1,0,1,0,1,1,1,1,6
ZNF780A,1,0,1,0,1,1,1,1,6
ZNF444,0,1,1,1,0,1,1,1,6
NFIL3,1,1,1,1,1,0,0,0,5
THAP1,1,1,1,1,1,0,0,0,5
SNAI3,1,1,1,1,0,0,0,1,5
DNTTIP1,1,1,0,0,0,1,1,1,5
NFE2L3,1,0,1,1,0,0,1,1,5
ZBTB39,1,0,1,0,1,1,1,0,5
BACH2,1,0,1,0,1,0,1,1,5
MBD2,1,0,1,0,0,1,1,1,5
ELF4,1,0,0,0,1,1,1,1,5
NR2C2,1,0,0,0,1,1,1,1,5
RFX2,0,1,1,0,1,0,1,1,5
ERF,0,1,0,1,1,1,0,1,5
NFKB2,0,1,0,1,1,1,0,1,5
ZFP14,0,1,0,1,0,1,1,1,5
GMEB1,0,1,0,0,1,1,1,1,5
E2F1,0,0,1,0,1,1,1,1,5
FOXP3,0,0,1,0,1,1,1,1,5
ZBTB14,0,0,1,0,1,1,1,1,5
ETS2,0,0,0,1,1,1,1,1,5
PKNOX1,0,0,0,1,1,1,1,1,5
REL,0,0,0,1,1,1,1,1,5
RFX5,0,0,0,1,1,1,1,1,5
SREBF2,0,0,0,1,1,1,1,1,5
DRAP1,1,1,1,1,0,0,0,0,4
GPBP1L1,1,1,1,1,0,0,0,0,4
HIVEP2,1,1,1,1,0,0,0,0,4
MBD4,1,1,1,1,0,0,0,0,4
PREB,1,1,1,1,0,0,0,0,4
ZNF24,1,1,1,1,0,0,0,0,4
ELF1,1,1,1,0,1,0,0,0,4
MAFF,1,1,1,0,1,0,0,0,4
NFYC,1,1,1,0,1,0,0,0,4
NR3C1,1,1,0,0,0,1,0,1,4
ZNF397,1,1,0,0,0,0,1,1,4
ZNF354C,1,0,1,0,1,1,0,0,4
HES6,1,0,1,0,1,0,1,0,4
IRF4,1,0,1,0,1,0,1,0,4
IRF5,1,0,1,0,1,0,1,0,4
TFCP2,1,0,1,0,1,0,1,0,4
ATF3,1,0,1,0,1,0,0,1,4
ZBTB32,1,0,1,0,0,1,1,0,4
ZBED2,1,0,1,0,0,0,1,1,4
SETBP1,1,0,0,1,1,0,0,1,4
BHLHE40,1,0,0,0,0,1,1,1,4
MYB,1,0,0,0,0,1,1,1,4
PRMT3,1,0,0,0,0,1,1,1,4
TFAP4,1,0,0,0,0,1,1,1,4
ZNF652,1,0,0,0,0,1,1,1,4
ZSCAN29,0,1,1,0,1,1,0,0,4
TFEB,0,1,0,1,1,0,0,1,4
ELK4,0,1,0,1,0,1,1,0,4
TEAD4,0,1,0,0,1,0,1,1,4
ZNF44,0,1,0,0,0,1,1,1,4
ARID3B,0,0,1,1,0,0,1,1,4
MEF2A,0,0,1,0,1,1,0,1,4
EGR2,0,0,1,0,1,0,1,1,4
EGR3,0,0,1,0,1,0,1,1,4
VDR,0,0,1,0,1,0,1,1,4
SPEN,0,0,1,0,0,1,1,1,4
BACH1,0,0,0,1,1,1,1,0,4
SRF,0,0,0,1,1,1,1,0,4
KLF13,0,0,0,1,1,0,1,1,4
TGIF2,0,0,0,1,0,1,1,1,4
ZNF263,0,0,0,1,0,1,1,1,4
ATF1,0,0,0,0,1,1,1,1,4
ATF4,0,0,0,0,1,1,1,1,4
ATF6B,0,0,0,0,1,1,1,1,4
BATF,0,0,0,0,1,1,1,1,4
BATF3,0,0,0,0,1,1,1,1,4
BPTF,0,0,0,0,1,1,1,1,4
CEBPB,0,0,0,0,1,1,1,1,4
CLOCK,0,0,0,0,1,1,1,1,4
CUX1,0,0,0,0,1,1,1,1,4
E2F3,0,0,0,0,1,1,1,1,4
E2F6,0,0,0,0,1,1,1,1,4
FOSL2,0,0,0,0,1,1,1,1,4
FOXN2,0,0,0,0,1,1,1,1,4
FOXO1,0,0,0,0,1,1,1,1,4
FOXO4,0,0,0,0,1,1,1,1,4
GATA3,0,0,0,0,1,1,1,1,4
IRF2,0,0,0,0,1,1,1,1,4
JUNB,0,0,0,0,1,1,1,1,4
JUND,0,0,0,0,1,1,1,1,4
KLF10,0,0,0,0,1,1,1,1,4
MAF,0,0,0,0,1,1,1,1,4
MAX,0,0,0,0,1,1,1,1,4
MEF2D,0,0,0,0,1,1,1,1,4
NFE2L1,0,0,0,0,1,1,1,1,4
NFKB1,0,0,0,0,1,1,1,1,4
PPARA,0,0,0,0,1,1,1,1,4
