axis	index	name
row	0	AAAS
row	1	AACS
row	2	AAGAB
row	3	AAK1
row	4	AAMP
row	5	AAR2
row	6	AARSD1
row	7	AASDHPPT
row	8	AASS
row	9	ABAT
row	10	ABCA2
row	11	ABCA3
row	12	ABCA5
row	13	ABCA7
row	14	ABCB1
row	15	ABCB10
row	16	ABCB6
row	17	ABCB8
row	18	ABCB9
row	19	ABCC1
row	20	ABCC4
row	21	ABCC5
row	22	ABCD2
row	23	ABCD3
row	24	ABCD4
row	25	ABCE1
row	26	ABCF2
row	27	ABCF3
row	28	ABCG1
row	29	ABCG2
row	30	ABHD10
row	31	ABHD11
row	32	ABHD12
row	33	ABHD13
row	34	ABHD14A
row	35	ABHD14B
row	36	ABHD16A
row	37	ABHD17B
row	38	ABHD3
row	39	ABHD4
row	40	ABHD5
row	41	ABHD6
row	42	ABHD8
row	43	ABI1
row	44	ABI2
row	45	ABI3
row	46	ABR
row	47	ABRACL
row	48	ABRAXAS1
row	49	ABTB1
row	50	ABTB2
row	51	ABTB3
row	52	ACAA1
row	53	ACAA2
row	54	ACACA
row	55	ACAD10
row	56	ACAD11
row	57	ACAD8
row	58	ACAD9
row	59	ACADM
row	60	ACADVL
row	61	ACAP1
row	62	ACAP2
row	63	ACAP3
row	64	ACAT1
row	65	ACAT2
row	66	ACBD4
row	67	ACBD6
row	68	ACCS
row	69	ACD
row	70	ACE
row	71	ACER3
row	72	ACIN1
row	73	ACKR3
row	74	ACLY
row	75	ACO1
row	76	ACO2
row	77	ACOT13
row	78	ACOT4
row	79	ACOT7
row	80	ACOT8
row	81	ACOT9
row	82	ACOX1
row	83	ACOX3
row	84	ACP2
row	85	ACP5
row	86	ACP6
row	87	ACSF3
row	88	ACSL1
row	89	ACSL3
row	90	ACSL4
row	91	ACSL5
row	92	ACSL6
row	93	ACSS1
row	94	ACSS2
row	95	ACTA2
row	96	ACTG1
row	97	ACTL6A
row	98	ACTN1
row	99	ACTN4
row	100	ACTR10
row	101	ACTR1A
row	102	ACTR1B
row	103	ACTR2
row	104	ACTR3
row	105	ACTR5
row	106	ACTR8
row	107	ACVR1
row	108	ACVR1B
row	109	ACVR1C
row	110	ACVR2A
row	111	ACVR2B
