axis	index	name
row	0	AAAS
row	1	AACS
row	2	AAGAB
row	3	AAK1
row	4	AAMP
row	5	AARSD1
row	6	AASDH
row	7	AASDHPPT
row	8	ABAT
row	9	ABCA2
row	10	ABCA3
row	11	ABCA5
row	12	ABCA7
row	13	ABCB1
row	14	ABCB10
row	15	ABCB6
row	16	ABCB8
row	17	ABCC1
row	18	ABCC4
row	19	ABCC5
row	20	ABCD2
row	21	ABCD4
row	22	ABCE1
row	23	ABCF2
row	24	ABCG1
row	25	ABCG2
row	26	ABHD10
row	27	ABHD11
row	28	ABHD12
row	29	ABHD14A
row	30	ABHD16A
row	31	ABHD17C
row	32	ABHD18
row	33	ABHD2
row	34	ABHD3
row	35	ABHD4
row	36	ABHD5
row	37	ABHD6
row	38	ABHD8
row	39	ABI1
row	40	ABI2
row	41	ABI3
row	42	ABL1
row	43	ABR
row	44	ABRACL
row	45	ABTB1
row	46	ABTB2
row	47	ABTB3
row	48	ACAA1
row	49	ACAA2
row	50	ACACA
row	51	ACACB
row	52	ACAD10
row	53	ACAD11
row	54	ACAD8
row	55	ACAD9
row	56	ACADM
row	57	ACADS
row	58	ACADSB
row	59	ACADVL
row	60	ACAP1
row	61	ACAP2
row	62	ACAP3
row	63	ACAT1
row	64	ACAT2
row	65	ACBD3
row	66	ACBD5
row	67	ACBD6
row	68	ACBD7
row	69	ACCS
row	70	ACD
row	71	ACER3
row	72	ACIN1
row	73	ACLY
row	74	ACO1
row	75	ACO2
row	76	ACOT4
row	77	ACOT7
row	78	ACOT8
row	79	ACOT9
row	80	ACOX1
row	81	ACOX3
row	82	ACP2
row	83	ACP5
row	84	ACP6
row	85	ACSF2
row	86	ACSF3
row	87	ACSL1
row	88	ACSL3
row	89	ACSL4
row	90	ACSL5
row	91	ACSL6
row	92	ACSS1
row	93	ACSS2
row	94	ACTA2
row	95	ACTG1
row	96	ACTL6A
row	97	ACTN1
row	98	ACTN4
row	99	ACTR10
row	100	ACTR1A
row	101	ACTR1B
row	102	ACTR2
row	103	ACTR3
row	104	ACTR5
row	105	ACTR6
row	106	ACTR8
row	107	ACVR1
row	108	ACVR1B
row	109	ACVR1C
row	110	ACVR2A
row	111	ACVR2B
