axis	index	name
row	0	A2MP1
row	1	AAAS
row	2	AAGAB
row	3	AAK1
row	4	AAMDC
row	5	AAMP
row	6	AAR2
row	7	AARS
row	8	AARS2
row	9	AASDH
row	10	AASDHPPT
row	11	AATF
row	12	ABAT
row	13	ABCA1
row	14	ABCA13
row	15	ABCA17P
row	16	ABCA5
row	17	ABCA7
row	18	ABCB1
row	19	ABCB10
row	20	ABCB5
row	21	ABCB7
row	22	ABCC1
row	23	ABCC10
row	24	ABCC4
row	25	ABCC5
row	26	ABCD3
row	27	ABCD4
row	28	ABCF1
row	29	ABCG1
row	30	ABHD11
row	31	ABHD11-AS1
row	32	ABHD12
row	33	ABHD13
row	34	ABHD14A
row	35	ABHD14B
row	36	ABHD17A
row	37	ABHD17B
row	38	ABHD2
row	39	ABHD3
row	40	ABHD4
row	41	ABHD5
row	42	ABHD8
row	43	ABI1
row	44	ABI2
row	45	ABI3
row	46	ABL1
row	47	ABL2
row	48	ABLIM1
row	49	ABR
row	50	ABTB1
row	51	ABTB2
row	52	ACACA
row	53	ACACB
row	54	ACAD8
row	55	ACAD9
row	56	ACADM
row	57	ACADSB
row	58	ACADVL
row	59	ACAP1
row	60	ACAP2
row	61	ACAT2
row	62	ACBD5
row	63	ACBD6
row	64	ACE
row	65	ACIN1
row	66	ACKR3
row	67	ACLY
row	68	ACO1
row	69	ACO2
row	70	ACOT2
row	71	ACOT4
row	72	ACOT7
row	73	ACOT8
row	74	ACOX1
row	75	ACOXL
row	76	ACP5
row	77	ACP6
row	78	ACRC
row	79	ACSF3
row	80	ACSL1
row	81	ACSL3
row	82	ACSL4
row	83	ACSL5
row	84	ACSL6
row	85	ACSM3
row	86	ACSS1
row	87	ACSS2
row	88	ACTA2
row	89	ACTB
row	90	ACTG1
row	91	ACTL6A
row	92	ACTN1
row	93	ACTN4
row	94	ACTR1A
row	95	ACTR1B
row	96	ACTR2
row	97	ACTR3
row	98	ACTR3B
row	99	ACTR3C
row	100	ACTR5
row	101	ACTR6
row	102	ACTR8
row	103	ACVR1
row	104	ACVR1B
row	105	ACVR2A
row	106	ACYP1
row	107	ACYP2
row	108	ADA
row	109	ADAL
row	110	ADAM10
row	111	ADAM12
row	112	ADAM15
row	113	ADAM17
row	114	ADAM19
row	115	ADAM23
row	116	ADAM28
row	117	ADAM9
row	118	ADAMTS6
row	119	ADAMTS9
row	120	ADAMTSL4
row	121	ADAMTSL4-AS1
row	122	ADAMTSL5
row	123	ADAP1
row	124	ADAP2
row	125	ADAR
row	126	ADARB1
row	127	ADAT1
row	128	ADAT2
row	129	ADCK3
row	130	ADCK4
row	131	ADCY3
row	132	ADCY7
row	133	ADCY9
row	134	ADD3
row	135	ADGRA3
row	136	ADGRE1
row	137	ADGRE2
row	138	ADGRE5
row	139	ADGRF5
row	140	ADGRG1
row	141	ADGRG3
row	142	ADGRG5
row	143	ADGRL1
row	144	ADIPOR1
row	145	ADIPOR2
row	146	ADIRF
row	147	ADK
row	148	ADM
row	149	ADM2
row	150	ADNP
row	151	ADNP-AS1
row	152	ADNP2
row	153	ADO
row	154	ADPGK-AS1
row	155	ADPRHL2
row	156	ADRB1
row	157	ADRB2
row	158	ADRM1
row	159	ADSL
row	160	ADTRP
row	161	AEBP1
row	162	AEBP2
row	163	AEN
row	164	AES
row	165	AFF1
row	166	AFF4
row	167	AFG3L1P
row	168	AFTPH
row	169	AGA
row	170	AGAP2
row	171	AGAP3
row	172	AGAP4
row	173	AGAP9
row	174	AGBL2
row	175	AGBL3
row	176	AGFG1
row	177	AGFG2
row	178	AGK
row	179	AGL
row	180	AGO1
row	181	AGO2
row	182	AGO3
row	183	AGO4
row	184	AGPAT1
row	185	AGPAT2
row	186	AGPAT3
row	187	AGPAT5
row	188	AGR2
row	189	AGR3
row	190	AGRN
row	191	AGTPBP1
row	192	AGTRAP
row	193	AHCTF1
row	194	AHCY
row	195	AHCYL1
row	196	AHDC1
row	197	AHI1
row	198	AHNAK
row	199	AHR
row	200	AHRR
row	201	AHSA1
row	202	AIDA
row	203	AIF1
row	204	AIF1L
row	205	AIFM1
row	206	AIFM2
row	207	AIG1
row	208	AIM1
row	209	AIM2
row	210	AIMP2
row	211	AIP
row	212	AK1
row	213	AK3
row	214	AK4
row	215	AK9
row	216	AKAP1
row	217	AKAP10
row	218	AKAP11
row	219	AKAP12
row	220	AKAP13
row	221	AKAP14
row	222	AKAP2
row	223	AKAP5
row	224	AKAP7
row	225	AKAP8
row	226	AKAP9
row	227	AKIP1
row	228	AKIRIN1
row	229	AKIRIN2
row	230	AKNA
row	231	AKR1A1
row	232	AKR1B1
row	233	AKR1C3
row	234	AKR7A2
row	235	AKT1
row	236	AKT1S1
row	237	AKT2
row	238	AKT3
