axis	index	name
row	0	AAGAB
row	1	AAK1
row	2	AAMP
row	3	AAR2
row	4	AARSD1
row	5	AATF
row	6	ABCE1
row	7	ABCF1
row	8	ABCF2
row	9	ABHD12
row	10	ABHD14B
row	11	ABI3
row	12	ABLIM1
row	13	ABRACL
row	14	ABT1
row	15	ABTB1
row	16	ACAA1
row	17	ACADM
row	18	ACAP1
row	19	ACAT2
row	20	ACBD6
row	21	ACD
row	22	ACIN1
row	23	ACLY
row	24	ACO2
row	25	ACOT13
row	26	ACOT7
row	27	ACOT9
row	28	ACP1
row	29	ACP2
row	30	ACSL4
row	31	ACSL5
row	32	ACSL6
row	33	ACTB
row	34	ACTG1
row	35	ACTL6A
row	36	ACTN1
row	37	ACTN4
row	38	ACTR1A
row	39	ACTR1B
row	40	ACTR2
row	41	ACTR3
row	42	ADAM15
row	43	ADAM17
row	44	ADAM19
row	45	ADAM8
row	46	ADAR
row	47	ADD3
row	48	ADGRE5
row	49	ADH5
row	50	ADI1
row	51	ADIPOR1
row	52	ADIPOR2
row	53	ADK
row	54	ADO
row	55	ADPGK
row	56	ADPRM
row	57	ADRM1
row	58	ADSL
row	59	ADTRP
row	60	AEN
row	61	AFG3L2
row	62	AFTPH
row	63	AGFG1
row	64	AGK
row	65	AGMAT
row	66	AGO2
row	67	AGPAT2
row	68	AGPAT3
row	69	AGPAT5
row	70	AGPS
row	71	AHCY
row	72	AHCYL1
row	73	AHNAK
row	74	AHR
row	75	AHSA1
row	76	AIM2
row	77	AIMP1
row	78	AIMP2
row	79	AIP
row	80	AK2
row	81	AK4
row	82	AK5
row	83	AK6
row	84	AKAP1
row	85	AKAP13
row	86	AKAP7
row	87	AKAP8
row	88	AKAP9
row	89	AKIRIN1
row	90	AKIRIN2
row	91	AKNA
row	92	AKR1A1
row	93	AKR7A2
row	94	AKT1
row	95	AKT2
row	96	AKTIP
row	97	ALAS1
row	98	ALDH18A1
row	99	ALDH1B1
row	100	ALDOA
row	101	ALG13
row	102	ALG3
row	103	ALG5
row	104	ALG8
row	105	ALKBH2
row	106	ALKBH5
row	107	ALKBH7
row	108	ALOX5AP
row	109	ALYREF
row	110	AMD1
row	111	AMDHD2
row	112	ANAPC1
row	113	ANAPC10
row	114	ANAPC11
row	115	ANAPC15
row	116	ANAPC16
row	117	ANAPC5
row	118	ANKLE2
row	119	ANKRA2
row	120	ANKRD11
row	121	ANKRD12
row	122	ANKRD17
row	123	ANKRD36
row	124	ANKRD37
row	125	ANKRD39
row	126	ANKRD40
row	127	ANKZF1
row	128	ANP32A
row	129	ANP32B
row	130	ANP32E
row	131	ANTXR2
row	132	ANXA1
row	133	ANXA2
row	134	ANXA2R
row	135	ANXA6
row	136	ANXA7
row	137	AP1B1
row	138	AP1G2
row	139	AP1S1
row	140	AP1S2
row	141	AP2B1
row	142	AP2M1
row	143	AP2S1
row	144	AP3D1
row	145	AP3S1
row	146	AP5B1
row	147	APBA2
row	148	APBA3
row	149	APBB1IP
row	150	APEX1
row	151	APH1A
row	152	API5
row	153	APIP
row	154	APMAP
row	155	APOBEC3G
row	156	APOL1
row	157	APOL2
row	158	APOL3
row	159	APOL6
row	160	APOLD1
row	161	APPL1
row	162	APRT
row	163	APTX
row	164	AQP3
row	165	ARAF
row	166	ARAP2
row	167	ARCN1
row	168	AREG
row	169	ARF1
row	170	ARF3
row	171	ARF4
row	172	ARF5
row	173	ARF6
row	174	ARFGAP3
row	175	ARFIP2
row	176	ARFRP1
row	177	ARGLU1
row	178	ARHGAP15
row	179	ARHGAP25
row	180	ARHGAP30
row	181	ARHGAP9
row	182	ARHGDIA
row	183	ARHGDIB
row	184	ARHGEF1
row	185	ARHGEF3
row	186	ARID1A
row	187	ARID4A
row	188	ARID4B
row	189	ARID5A
row	190	ARID5B
row	191	ARIH2
row	192	ARL1
row	193	ARL14EP
row	194	ARL16
row	195	ARL2
row	196	ARL2BP
row	197	ARL4A
row	198	ARL4C
row	199	ARL5A
row	200	ARL6IP1
row	201	ARL6IP5
row	202	ARL8A
row	203	ARL8B
row	204	ARMC1
row	205	ARMC10
row	206	ARMC6
row	207	ARMCX3
row	208	ARPC1A
row	209	ARPC1B
row	210	ARPC2
row	211	ARPC3
row	212	ARPC4
row	213	ARPC5L
row	214	ARPP19
row	215	ARRB2
row	216	ARRDC2
row	217	ARRDC3
row	218	ASAH1
row	219	ASAP1
row	220	ASB1
row	221	ASB6
row	222	ASCC1
row	223	ASCC2
row	224	ASCC3
row	225	ASF1A
row	226	ASNS
row	227	ASNSD1
row	228	ASPHD2
row	229	ASXL1
row	230	ATAD3A
row	231	ATAD3B
row	232	ATF1
row	233	ATF3
row	234	ATF4
row	235	ATF5
row	236	ATF6
row	237	ATF7
row	238	ATF7IP
row	239	ATG10
row	240	ATG101
row	241	ATG12
row	242	ATG3
row	243	ATG5
row	244	ATIC
row	245	ATL3
row	246	ATM
row	247	ATN1
row	248	ATOX1
row	249	ATP13A2
row	250	ATP13A3
row	251	ATP1B3
row	252	ATP2A2
row	253	ATP2C1
row	254	ATP6AP2
row	255	ATP6V0A2
row	256	ATP6V0B
row	257	ATP6V0D1
row	258	ATP6V0E1
row	259	ATP6V0E2
row	260	ATP6V1B2
row	261	ATP6V1C1
