axis	index	name
row	0	AAK1
row	1	AAMP
row	2	AATF
row	3	ABCE1
row	4	ABCF1
row	5	ABCF2
row	6	ABHD14B
row	7	ABRACL
row	8	ABT1
row	9	ABTB1
row	10	ACADM
row	11	ACADVL
row	12	ACAP1
row	13	ACAT2
row	14	ACBD6
row	15	ACD
row	16	ACIN1
row	17	ACLY
row	18	ACO2
row	19	ACOT7
row	20	ACOT9
row	21	ACP1
row	22	ACP2
row	23	ACSL5
row	24	ACTB
row	25	ACTG1
row	26	ACTL6A
row	27	ACTN4
row	28	ACTR1A
row	29	ACTR1B
row	30	ACTR2
row	31	ACTR3
row	32	ADAM15
row	33	ADAM17
row	34	ADAM19
row	35	ADAM8
row	36	ADAP1
row	37	ADAR
row	38	ADD3
row	39	ADGRE5
row	40	ADIPOR1
row	41	ADIPOR2
row	42	ADK
row	43	ADO
row	44	ADPGK
row	45	ADRB2
row	46	ADRM1
row	47	ADSL
row	48	AEN
row	49	AFG3L2
row	50	AGFG1
row	51	AGO2
row	52	AGPAT2
row	53	AGPAT5
row	54	AGPS
row	55	AHCY
row	56	AHNAK
row	57	AHR
row	58	AHSA1
row	59	AIMP1
row	60	AIMP2
row	61	AIP
row	62	AK2
row	63	AK4
row	64	AK6
row	65	AKAP8
row	66	AKIRIN1
row	67	AKIRIN2
row	68	AKNA
row	69	AKR1A1
row	70	AKR1B1
row	71	AKT1
row	72	AKT2
row	73	ALDH18A1
row	74	ALDH1B1
row	75	ALDOA
row	76	ALG13
row	77	ALG2
row	78	ALG3
row	79	ALG5
row	80	ALKBH2
row	81	ALKBH5
row	82	ALKBH7
row	83	ALOX5AP
row	84	ALYREF
row	85	AMD1
row	86	ANAPC10
row	87	ANAPC11
row	88	ANAPC15
row	89	ANAPC16
row	90	ANAPC5
row	91	ANKLE2
row	92	ANKRD11
row	93	ANKRD12
row	94	ANKRD17
row	95	ANKRD37
row	96	ANKRD39
row	97	ANKRD40
row	98	ANP32A
row	99	ANP32B
row	100	ANP32E
row	101	ANXA1
row	102	ANXA11
row	103	ANXA2R
row	104	ANXA5
row	105	ANXA6
row	106	ANXA7
row	107	AP1B1
row	108	AP1S1
row	109	AP1S2
row	110	AP2B1
row	111	AP2M1
row	112	AP2S1
row	113	AP3D1
row	114	AP3M2
row	115	AP3S1
row	116	APBB1IP
row	117	APEX1
