state,names
CD4_rest,CD52
CD4_rest,SARAF
CD4_rest,LTB
CD4_rest,LDHB
CD4_rest,RPL11
CD4_rest,RPL13A
CD4_rest,RPL34
CD4_rest,RPL30
CD4_rest,RPS15A
CD4_rest,RPS13
CD4_rest,RPL13
CD4_rest,RPL18
CD4_rest,RPS3A
CD4_rest,TPT1
CD4_rest,RPL13P12
CD4_rest,PABPC1
CD4_rest,RPL3
CD4_rest,RPL39
CD4_rest,RPL9
CD4_rest,RPL32
CD4_rest,GAS5
CD4_rest,ARHGDIB
CD4_rest,FXYD5
CD4_rest,RPL10
CD4_rest,RPS3
CD4_rest,RPS14
CD4_rest,EEF1A1
CD4_rest,RPL31
CD4_rest,RPS27
CD4_rest,RPL19
CD4_rest,RPL35A
CD4_rest,RPS6
CD4_rest,EEF2
CD4_rest,RPS4X
CD4_rest,RPS18
CD4_rest,RPLP2
CD4_rest,RPL37
CD4_rest,RPS28
CD4_rest,GIMAP7
CD4_rest,EIF3E
CD4_rest,RPL22
CD4_rest,RPL21
CD4_rest,RPL38
CD4_rest,RPL27A
CD4_rest,ITM2B
CD4_rest,RPS15
CD4_rest,GNB2L1
CD4_rest,RPS29
CD4_rest,RPS25
CD4_rest,RPL3P4
CD4_rest,RPL7
CD4_rest,RPS27A
CD4_rest,RPL18A
CD4_rest,AC004453.8
CD4_rest,RPL14
CD4_rest,RPS16
CD4_rest,RP11-505E24.2
CD4_rest,RPL36
CD4_rest,RP13-258O15.1
CD4_rest,RPS20
CD4_rest,LAPTM5
CD4_rest,RPS3AP6
CD4_rest,RPL4
CD4_rest,RP11-371A22.1
CD4_rest,RPL26
CD4_rest,RPL8
CD4_rest,UBA52
CD4_rest,EEF1D
CD4_rest,RP11-425L10.1
CD4_rest,RPS8
CD4_rest,RPL29
CD4_rest,RP11-234A1.1
CD4_rest,RPS23
CD4_rest,RPL23A
CD4_rest,RPS10
CD4_rest,RPL41
CD4_rest,RPS12
CD4_rest,RPL7P9
CD4_rest,RPS5
CD4_rest,PFDN5
CD4_rest,RPL5
CD4_rest,ZFP36L2
CD4_rest,MALAT1
CD4_rest,GLTSCR2
CD4_rest,RPL9P9
CD4_rest,VIM
CD4_rest,FAU
CD4_rest,RPL26P19
CD4_rest,RPS9
CD4_rest,RPLP1
CD4_rest,TOMM7
CD4_rest,RPS4Y1
CD4_rest,RPL27
CD4_rest,NACA
CD4_rest,KLF2
CD4_rest,TRAC
CD4_rest,AES
CD4_rest,RPL10A
CD4_rest,RPL18AP3
CD4_rest,RPS21
CD4_rest,GIMAP4
CD4_rest,RPS7
CD4_rest,RPS19
CD4_rest,AC079250.1
CD4_rest,AC007969.5
CD4_rest,IL7R
CD4_rest,RPL15
CD4_rest,LRRC75A-AS1
CD4_rest,RPS11
CD4_rest,RPL35
CD4_rest,TMSB4X
CD4_rest,RPL28
CD4_rest,FYB
CD4_rest,EVI2B
CD4_rest,RPS2
CD4_rest,RPL24
CD4_rest,C6orf48
CD4_rest,RPSA
CD4_rest,RP11-864N7.2
CD4_rest,AC016739.2
CD4_rest,EVL
CD4_rest,NAP1L1
CD4_rest,UQCRB
CD4_rest,RPL7A
CD4_rest,S100A4
CD4_rest,PTMA
CD4_rest,SELL
CD4_rest,RPS17
CD4_rest,RPL6
CD4_rest,LEPROTL1
CD4_rest,EIF3F
CD4_rest,BTF3
CD4_rest,NPM1
CD4_rest,RPL34P18
CD4_rest,FTL
CD4_rest,TCF7
CD4_rest,TMEM123
CD4_rest,GPSM3
CD4_rest,COMMD6
CD4_rest,AQP3
CD4_rest,MT-ND3
CD4_rest,CCNI
CD4_rest,BTG1
CD4_rest,RP11-761N21.2
CD4_rest,RP11-466H18.1
CD4_rest,RPL12
CD4_rest,CD37
CD4_rest,RPL37A
CD4_rest,CD27
CD4_rest,RP11-51O6.1
CD4_act,MIR155HG
CD4_act,SOCS1
CD4_act,TNFRSF4
CD4_act,STAT1
CD4_act,ARID5A
CD4_act,BATF
CD4_act,PSME2
CD4_act,CD69
CD4_act,MTHFD2
CD4_act,DDX21
CD4_act,CYTIP
CD4_act,ENO1
CD4_act,IL2RA
CD4_act,NME1
CD4_act,HSP90AB1
CD4_act,PPA1
CD4_act,NFKBIA
CD4_act,SRM
CD4_act,YBX1
CD4_act,RANBP1
CD4_act,EIF5A
CD4_act,TXN
CD4_act,TPI1
CD4_act,MIF
CD4_act,SOCS3
CD4_act,CYCS
CD4_act,RPL22L1
CD4_act,TAP1
CD4_act,NHP2
CD4_act,HSPE1
CD4_act,HAPLN3
CD4_act,IRF1
CD4_act,CISH
CD4_act,ARID5B
CD4_act,NDFIP2
CD4_act,CREM
CD4_act,RBM3
CD4_act,C1QBP
CD4_act,RAN
CD4_act,EIF2S2
CD4_act,MAL
CD4_act,SPINT2
CD4_act,SRSF3
CD4_act,GBP2
CD4_act,WARS
CD4_act,IRF4
CD4_act,AC133644.2
CD4_act,CD7
CD4_act,HSP90AA1
CD4_act,DDIT4
CD4_act,HSPD1
CD4_act,LINC00152
CD4_act,IL4R
CD4_act,EEF1A1P5
CD4_act,SNRPD1
CD4_act,PRMT1
CD4_act,PIM3
CD4_act,PMAIP1
CD4_act,RELB
CD4_act,SUB1
CD4_act,SATB1
CD4_act,BOLA2B
CD4_act,RP11-138A9.2
CD4_act,DNAJA1
CD4_act,PSME1
CD4_act,TMSB10
CD4_act,GBP5
CD4_act,EEF1B2
CD4_act,ODC1
CD4_act,NCL
CD4_act,SNRPG
CD4_act,DESI1
CD4_act,ZNF593
CD4_act,TSHZ2
CD4_act,SET
CD4_act,SRSF7
CD4_act,TIMM13
CD4_act,TYMP
CD4_act,VDAC1
CD4_act,TOMM22
CD4_act,PIM2
CD4_act,XBP1
CD4_act,PGAM1
CD4_act,FRMD4B
CD4_act,DCTPP1
CD4_act,LDHA
CD4_act,HIF1A
CD4_act,FKBP1A
CD4_act,SERBP1
CD4_act,RP11-138A9.1
